route_id,agency_id,route_short_name,route_long_name,route_url
8__717___,CRTM,717,MADRID (Plaza de Castilla)-NUEVO TRES CANTOS,https://www.crtm.es/8__717___.aspx
8_N_701___,CRTM,N701,MADRID (Plaza de Castilla)-TRES CANTOS,https://www.crtm.es/8_N_701___.aspx
9__1__903_,CRTM,1,FFCC-AVENIDA VIÑUELAS-AVENIDA COLMENAR-FFCC,https://www.crtm.es/9__1__903_.aspx
9__2__903_,CRTM,2,FFCC-AVENIDA COLMENAR-AVENIDA VIÑUELAS-FFCC,https://www.crtm.es/9__2__903_.aspx
9__3__903_,CRTM,3,SOTO DE VIÑUELAS-TRES CANTOS FFCC-SOTO DE VIÑUELAS,https://www.crtm.es/9__3__903_.aspx
9__4__903_,CRTM,4,NUEVO TRES CANTOS - TRES CANTOS FF.CC.,https://www.crtm.es/9__4__903_.aspx
9__5__903_,CRTM,5,NUEVO TRES CANTOS - AV. VIÑUELAS,https://www.crtm.es/9__5__903_.aspx
8__280___,CRTM,280,COSLADA (FFCC)-HOSPITAL-LOECHES,https://www.crtm.es/8__280___.aspx
8__281___,CRTM,281,MADRID (Avenida de América)-SAN FERNANDO DE HENARES,https://www.crtm.es/8__281___.aspx
8__282___,CRTM,282,MADRID (Avenida América)-SAN FERNANDO-MEJORADA,https://www.crtm.es/8__282___.aspx
8__283___,CRTM,283,MADRID (Avenida América)-COSLADA-SAN FERNANDO,https://www.crtm.es/8__283___.aspx
8__284___,CRTM,284,MADRID (Avenida de América)-VELILLA-LOECHES,https://www.crtm.es/8__284___.aspx
8__285___,CRTM,285,COSLADA (San Fernando FFCC)-VELILLA-ARGANDA DEL REY,https://www.crtm.es/8__285___.aspx
8__286___,CRTM,286,MADRID (Ciudad Lineal)-COSLADA (Ciudad 70),https://www.crtm.es/8__286___.aspx
8__287___,CRTM,287,MADRID (Alsacia)-COSLADA (Barrio Estación),https://www.crtm.es/8__287___.aspx
8__288___,CRTM,288,MADRID (Ciudad Lineal)-COSLADA-SAN FERNANDO,https://www.crtm.es/8__288___.aspx
8__289___,CRTM,289,MADRID (Ciudad Lineal)-COSLADA (Hospital),https://www.crtm.es/8__289___.aspx
8__290___,CRTM,290,MADRID (El Cañaveral) - COSLADA - PLENILUNIO,https://www.crtm.es/8__290___.aspx
8__340___,CRTM,340,TORREJÓN DE ARDOZ-MEJORADA DEL CAMPO,https://www.crtm.es/8__340___.aspx
8__341___,CRTM,341,MADRID (Pavones)-MEJORADA-VELILLA,https://www.crtm.es/8__341___.aspx
8__432___,CRTM,432,MADRID (Villaverde Bajo-Cruce)-LEGANÉS,https://www.crtm.es/8__432___.aspx
8__441___,CRTM,441,MADRID (Plaza Elíptica)-GETAFE (Sector III-Paseo Juan José Rosón),https://www.crtm.es/8__441___.aspx
8__442___,CRTM,442,MADRID (Plaza Elíptica)-GETAFE (Juan de la Cierva),https://www.crtm.es/8__442___.aspx
8__443___,CRTM,443,MADRID (Plaza Elíptica)-GETAFE (Barrio Las Margaritas),https://www.crtm.es/8__443___.aspx
8__444___,CRTM,444,MADRID (Plaza Elíptica)-GETAFE (Sector III-Islas Canarias),https://www.crtm.es/8__444___.aspx
8__446___,CRTM,446,MADRID (Plaza Elíptica)-GETAFE (El Bercial),https://www.crtm.es/8__446___.aspx
8__447___,CRTM,447,MADRID (Legazpi)-GETAFE (Hospital),https://www.crtm.es/8__447___.aspx
8__448___,CRTM,448,MADRID (Legazpi)-GETAFE (Por Villaverde),https://www.crtm.es/8__448___.aspx
8__450___,CRTM,450,GETAFE-LEGANÉS-ALCORCÓN,https://www.crtm.es/8__450___.aspx
8__455___,CRTM,455,PINTO - GETAFE,https://www.crtm.es/8__455___.aspx
8__460___,CRTM,460,MADRID (Plaza Elíptica)-PARLA-BATRES,https://www.crtm.es/8__460___.aspx
