X,Y,OBJECTID_1,OBJECTID,Texto
-8.55258263773453,42.8766415559859,64,64,Universidad de Santiago de Compostela
-8.68799198781852,42.1692262520493,65,65,Universidad de Vigo
-2.42769204542866,42.4630284015855,66,66,Universidad de La Rioja
-2.45044745314701,42.4637382217245,67,67,Universidad Internacional de La Rioja
-2.49827959163469,43.0616032236831,68,68,Mondragón Unibertsitatea
-2.93762264604034,43.2706826917592,69,69,Universidad de Deusto
-2.99712949567462,43.2987893013184,70,70,Universidad del País Vasco/Euskal Herriko Unibertsitatea
-5.84759009640863,43.3612825498496,71,71,Universidad de Oviedo
-0.979214750473732,37.6036212607055,72,72,Universidad Politécnica de Cartagena
-1.18701553032962,37.9919678946623,73,73,Universidad Católica San Antonio
-1.1272704780247,37.9822184417461,74,74,Universidad de Murcia
-5.97801394488781,37.3388865901087,75,75,Universidad Loyola Andalucía
-5.66666084173391,40.9630997498993,76,76,Universidad Pontificia de Salamanca
-3.87584782885183,43.4517582990039,77,77,Universidad Europea del Atlántico
-16.5243125547171,28.3904758131681,78,78,Universidad Europea de Canarias
-0.366140591459311,39.4782849452044,79,79,Universidad Europea de Valencia
-15.4126134172334,28.09813163062,80,80,Uiversidad Fernando Pessoa-Canarias
-3.7091057519008,42.340989234989,81,81,Universidad Internacional Isabel I
-0.351642009149091,39.4768425486929,82,82,Universidad Internacional de Valencia
