Code,Academic Year,Degree,University,Academic level,Ambit
4311913,2024-2025,"Intervención Social con Individuos, Familias y Grupos",Universidad Pública de Navarra,Máster,Ciencias Sociales y Jurídicas
4318568,2024-2025,Investigación e Innovación en Biotecnología,Universidad Pública de Navarra,Máster,Ciencias
4311909,2024-2025,Investigación en Ciencias de la Salud,Universidad Pública de Navarra,Máster,Ciencias de la Salud
3500381,2024-2025,Machine Learning,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4312676,2024-2025,Prevención de Riesgos Laborales,Universidad Pública de Navarra,Máster,Ciencias Sociales y Jurídicas
4310572,2024-2025,Profesorado de Educación Secundaria,Universidad Pública de Navarra,Máster,Ciencias Sociales y Jurídicas
3500066,2024-2025,Psicología General Sanitaria,Universidad Pública de Navarra,Máster,Ciencias de la Salud
4311910,2024-2025,Salud Pública,Universidad Pública de Navarra,Máster,Ciencias de la Salud
4315069,2024-2025,Sistemas de Información Geográfica y Teledetección,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
4316931,2024-2025,Tecnología y Sostenibilidad en la Industria Alimentaria,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
3500310,2024-2025,Wind Energy Engineering,Universidad Pública de Navarra,Máster,Ingeniería y Arquitectura
