Academic Year,Centre Code,Faculty,Faculty ID,University,University ID,Academic Level,Academic Level ID,Degree Code,Degree,Degree ID,Knowledge Area,Knowledge Area ID,matriculados,nota_5_7,nota_7_9,nota_9_12,nota_12_14
2024-2025,30008236,Facultad de Letras,fe7c0e584bd8d76dcb030562f0171861,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500369,Estudios Ingleses,b2093cced6641d51ed86304ff258bcc2,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,147,18,40,66,22
2024-2025,30008248,Facultad de Medicina,645ccb75ce30b4d9cf15a6825de02c84,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500133,Farmacia,5a898e0e04ef0edace19d067cb7912c8,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",57,0,0,14,42
2024-2025,30010221,Facultad de Biología,dcd2478730465208260674beb6323b0b,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500789,Ciencias Ambientales,a40c35660e976cb26bd4a22b6c0c6142,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",38,11,18,9,0
2024-2025,30010221,Facultad de Biología,dcd2478730465208260674beb6323b0b,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500722,Biología,1240c9a2e22e7719b8cfa140ae0f835f,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",85,0,0,68,17
2024-2025,30011387,Facultad de Ciencias del Trabajo,2f43d31867f2aad9e169b3a8d70abc4e,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500805,Relaciones Laborales y Recursos Humanos (Murcia),b8863c77006d6dad0cb3aafed4458f32,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",107,23,55,25,1
2024-2025,30011545,Isen Formación Universitaria,59efebe22173b71d92ece49fc5579035,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500380,Educación Primaria (Cartagena),0c91cbcac8c4bc5342a1bc9b923099ad,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",68,10,24,33,1
2024-2025,30011545,Isen Formación Universitaria,59efebe22173b71d92ece49fc5579035,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Doble Grado,"fba30e9ec1935ca7d36277ba76dddbba",7000971,Educación Infantil y Educación Primaria (Isen),c7014aff1331bca6f922f2d097788105,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",28,1,7,15,4
2024-2025,30013992,Facultad de Ciencias Sociosanitarias,a7512303bb72ec2d6ffcdfabcf24b51a,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2504343,Terapia Ocupacional,c35e64977d8ac67f842009519cba1ca2,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",24,1,14,9,0
2024-2025,30011821,Facultad de Enfermería. Sede Cartagena,62c15a937d51d701715121c633aa3e64,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500942,Enfermería (Cartagena),721f58a3315fb0424738c5a895eb0f12,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",45,0,0,8,33
2024-2025,30008224,Facultad de Derecho,288d0da066d511cc53b58999dd5950b6,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500815,Criminología,f667dffbe058d4556886e18e640ea090,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",53,0,0,39,12
2024-2025,30008236,Facultad de Letras,fe7c0e584bd8d76dcb030562f0171861,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2503733,Traducción e Interpretación,27fa8dcb8e82e10e9b99cb8ec314058b,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,90,0,5,29,54
2024-2025,30011405,Facultad de Veterinaria,c32208051f1829034017263f4b4d204d,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500376,Ciencia y Tecnología de Los Alimentos,242d78799214478ef9095fcd2d7737c7,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",33,1,10,20,1
2024-2025,30011821,Facultad de Enfermería,a63382c4550cc808ac171ccc700326e7,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500942,Enfermería (Murcia),a32129c4a2711e3f5675ec0cdfe170b4,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",168,0,0,0,156
2024-2025,30013645,Facultad de Economía y Empresa,ef2db1984f3433e9610f84c2b66e0456,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2503585,Sociología,21b1ebb568ca534fd0ee211378817893,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",20,6,9,5,0
2024-2025,30011961,Facultad de Educación,5afcf07f7c18034598dc5881a5d380e3,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500381,Educación Social,a35fc06a8d5f672c0b6068227a17a9d9,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",119,14,57,44,3
