Code,Degree,University,Unique Identifier,Academic Level,Ambit
2501918,Trabajo Social,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Trabajo Social,Grado,"Ciencias sociales, trabajo social, relaciones laborales y recursos humanos, sociología, ciencia política y relaciones internacionales"
2501053,Traducción e Interpretación. Inglés-Alemán,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Traducción e Interpretación. Inglés-Alemán,Grado,"Filología, estudios clásicos, traducción y lingüística"
2501054,Traducción e Interpretación. Inglés-Francés,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Traducción e Interpretación. Inglés-Francés,Grado,"Filología, estudios clásicos, traducción y lingüística"
2501920,Turismo,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Turismo,Grado,
2501905,Veterinaria,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Veterinaria,Grado,Veterinaria
4314967,Abogacía y Procura,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Abogacía y Procura,Máster,Derecho y especialidades jurídicas
3500789,Competencias Digitales Docentes,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Competencias Digitales Docentes,Máster,Ciencias de la educación
4310168,Cultivos Marinos,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Cultivos Marinos,Máster,Biología y genética
4314497,Cultura Audiovisual y Literaria,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Cultura Audiovisual y Literaria,Máster,"Filología, estudios clásicos, traducción y lingüística"
4314014,Dirección de Empresas y Recursos Humanos,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Dirección de Empresas y Recursos Humanos,Máster,"Ciencias económicas, administración y dirección de empresas, márquetin, comercio, contabilidad y turismo"
3500491,Electrónica y Tecnología Digital Aplicada,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Electrónica y Tecnología Digital Aplicada,Máster,"Ingeniería eléctrica, ingeniería electrónica e ingeniería de la telecomunicación"
4310170,Enseñanza del Español y su Cultura,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Enseñanza del Español y su Cultura,Máster,"Filología, estudios clásicos, traducción y lingüística"
3500251,Estudios Africanos,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Estudios Africanos,Máster,"Historia, arqueología, geografía, filosofía y humanidades"
4312538,Gestión Sostenible de Recursos Pesqueros,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Gestión Sostenible de Recursos Pesqueros,Máster,Ciencias de la Tierra
3500041,"Ingeniería de Caminos, Canales y Puertos",University of Las Palmas de Gran Canaria,"Universidad De Las Palmas De Gran Canaria Ingeniería de Caminos, Canales y Puertos",Máster,"Arquitectura, construcción, edificación y urbanismo, e ingeniería civil"
4313706,Ingeniería de Telecomunicación,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería de Telecomunicación,Máster,"Ingeniería eléctrica, ingeniería electrónica e ingeniería de la telecomunicación"
4314767,Ingeniería Industrial,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Ingeniería Industrial,Máster,"Ingeniería industrial, ingeniería mecánica, ingeniería automática, ingeniería de la organización industrial e ingeniería de la navegación"
4313941,Marketing y Comercio Internacional,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Marketing y Comercio Internacional,Máster,"Ciencias económicas, administración y dirección de empresas, márquetin, comercio, contabilidad y turismo"
4313927,"Patrimonio Histórico, Cultural y Natural",University of Las Palmas de Gran Canaria,"Universidad De Las Palmas De Gran Canaria Patrimonio Histórico, Cultural y Natural",Máster,"Historia, arqueología, geografía, filosofía y humanidades"
4316038,Prevención de Riesgos Laborales,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Prevención de Riesgos Laborales,Máster,Interdisciplinar
4313928,Relaciones Hispano Africanas,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Relaciones Hispano Africanas,Máster,"Historia, arqueología, geografía, filosofía y humanidades"
4312658,Sanidad Animal y Seguridad Alimentaria,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Sanidad Animal y Seguridad Alimentaria,Máster,
4310173,Sistemas Inteligentes y Aplicaciones Numéricas en la Ingeniería,University of Las Palmas de Gran Canaria,Universidad De Las Palmas De Gran Canaria Sistemas Inteligentes y Aplicaciones Numéricas en la Ingeniería,Máster,Ingeniería informática y de sistemas
