Academic Year,Centre Code,Centre,University,Academic Level,Degree Code,Degree,Ambit,nota_corte
2024-2025,30011715,Facultad de Informática,Universidad de Murcia,Máster,3500006,Inteligencia Artificial,Ingeniería y Arquitectura,6.49
2024-2025,30011831,Facultad de Psicología,Universidad de Murcia,Máster,4317518,Intervención Logopédica en la Deglución,Ciencias Sociales y Jurídicas,7.56
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Máster,4312059,Investigación Musical,Artes y Humanidades,5.0
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Máster,4312098,Investigación e Innovación en Educación Infantil y Educación Primaria (Murcia),Ciencias Sociales y Jurídicas,7.19
2024-2025,30013876,Facultad de Ciencias del Deporte,Universidad de Murcia,Máster,4313090,Investigación en Ciencias de la Actividad Física y del Deporte,Ciencias,6.52
2024-2025,30008248,Facultad de Medicina,Universidad de Murcia,Máster,4316947,Investigación en Ciencias de la Visión,Ciencias de la Salud,6.99
2024-2025,30009617,Facultad de Filosofía,Universidad de Murcia,Máster,4315278,Investigación en Filosofía,Artes y Humanidades,6.99
2024-2025,30008236,Facultad de Letras,Universidad de Murcia,Máster,4312060,Investigación y Gestión del Patrimonio Histórico-Artístico y Cultural,Ciencias Sociales y Jurídicas,5.0
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Máster,4314774,"Investigación, Evaluación y Calidad en Educación",Ciencias Sociales y Jurídicas,7.46
2024-2025,30008236,Facultad de Letras,Universidad de Murcia,Máster,4313337,Lingüística Teórica y Aplicada,Artes y Humanidades,6.46
2024-2025,30008236,Facultad de Letras,Universidad de Murcia,Máster,4312062,Literatura Comparada Europea,Artes y Humanidades,6.65
2024-2025,30014157,"Escuela de Negocios, Dirección y Administración",Universidad de Murcia,Máster,4316537,Logística y Dirección de Operaciones,Ciencias Sociales y Jurídicas,6.0
2024-2025,30013645,Facultad de Economía y Empresa,Universidad de Murcia,Máster,4316967,Marketing Digital y Analítico,Ingeniería y Arquitectura,6.73
2024-2025,30011958,Facultad de Matemáticas,Universidad de Murcia,Máster,4315318,Matemática Avanzada,Ciencias,6.46
2024-2025,30011727,Facultad de Trabajo Social,Universidad de Murcia,Máster,4312435,Mediación,Ciencias,6.44
2024-2025,30011405,Facultad de Veterinaria,Universidad de Murcia,Máster,4314146,Medicina de Pequeños Animales,Ciencias de la Salud,5.9
2024-2025,30011715,Facultad de Informática,Universidad de Murcia,Máster,4312100,Nuevas Tecnologías en Informática,Ingeniería y Arquitectura,7.49
2024-2025,30011405,Facultad de Veterinaria,Universidad de Murcia,Máster,4312083,"Nutrición, Tecnología y Seguridad Alimentaria",Ciencias de la Salud,5.74
2024-2025,30013888,Facultad de Óptica y Optometría,Universidad de Murcia,Máster,4316979,Optometría Aplicada,Ciencias de la Salud,6.46
2024-2025,30011387,Facultad de Ciencias del Trabajo,Universidad de Murcia,Máster,4313161,Orientación e Intermediación Laboral,Ciencias Sociales y Jurídicas,7.06
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Máster,4314027,"Orientación, Asesoramiento y Mediación Familiar",Ciencias Sociales y Jurídicas,7.63
2024-2025,30011387,Facultad de Ciencias del Trabajo,Universidad de Murcia,Máster,4316585,Prevención de Riesgos Laborales,Ciencias Sociales y Jurídicas,6.34
2024-2025,30013591,Facultad de Bellas Artes,Universidad de Murcia,Máster,4312063,Producción y Gestión Artística,Artes y Humanidades,6.56
2024-2025,30011831,Facultad de Psicología,Universidad de Murcia,Máster,4314694,Psicología General Sanitaria,Ciencias de la Salud,6.65
2024-2025,30011831,Facultad de Psicología,Universidad de Murcia,Máster,4317041,Psicología Jurídica y Forense,Ciencias de la Salud,6.4
2024-2025,30011831,Facultad de Psicología,Universidad de Murcia,Máster,4312545,Psicología de la Educación,Ciencias de la Salud,5.0
2024-2025,30011831,Facultad de Psicología,Universidad de Murcia,Máster,4312546,Psicología de la Intervención Social,Ciencias de la Salud,6.2
2024-2025,30010218,Facultad de Química,Universidad de Murcia,Máster,4312072,Química Fina y Molecular,Ciencias,6.49
2024-2025,30008248,Facultad de Medicina,Universidad de Murcia,Máster,4312087,Salud Pública,Ciencias de la Salud,6.41
2024-2025,30011821,Facultad de Enfermería,Universidad de Murcia,Máster,4310538,"Salud, Mujer y Cuidados",Ciencias de la Salud,6.38
2024-2025,30013645,Facultad de Economía y Empresa,Universidad de Murcia,Máster,4318207,Sociedad Digital: Investigación y Análisis de las Transformaciones Sociales,Ingeniería y Arquitectura,6.21
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Máster,4313436,Tecnología Educativa: E-Learning y Gestión del Conocimiento,Ingeniería y Arquitectura,6.7
2024-2025,30011715,Facultad de Informática,Universidad de Murcia,Máster,4315427,Tecnologías de Análisis de Datos Masivos: Big Data,Ingeniería y Arquitectura,6.48
2024-2025,30008236,Facultad de Letras,Universidad de Murcia,Máster,4312064,Teología,Artes y Humanidades,5.95
2024-2025,30008236,Facultad de Letras,Universidad de Murcia,Máster,4312065,Traducción Editorial,Artes y Humanidades,6.53
2024-2025,30010221,Facultad de Biología,Universidad de Murcia,Máster,4315305,"Áreas Protegidas, Recursos Naturales y Biodiversidad",Ciencias,5.0
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Máster,7500139,"Programación Conjunta de Estudios Oficiales de Formación del Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional, Enseñanzas de Idiomas y Enseñanzas Artísticas (Especialidad Educación Física) y Investigación en Ciencias de la Actividad Física y del Deporte",Ciencias,6.22
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Máster,7500124,"Programación Conjunta de Estudios Oficiales de Formación del Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional, Enseñanzas de Idiomas y Enseñanzas Artísticas (Especialidad Matemáticas) y Matemática Avanzada",Ciencias,6.71
2024-2025,30011961,Facultad de Educación,Universidad de Murcia,Máster,7500171,"Programación Conjunta de Estudios Oficiales de Formación del Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional, Enseñanzas de Idiomas y Enseñanzas Artísticas (Especialidad Orientación Educativa) y Psicología de la Educación",Ciencias de la Salud,7.5
