curso_academico_cod,curso_academico,tipo_centro,centro_cod,centro_cod_mec,centro,ciclo_titulacion_cod,ciclo_titulacion,titulacion_cod,titulacion_cod_mec,titulacion,matriculados,especiales,nota_5_7,porc_nota_5_7_mujer,porc_nota_5_7_hombre,nota_7_9,porc_nota_7_9_mujer,porc_nota_7_9_hombre,nota_9_12,porc_nota_9_12_mujer,porc_nota_9_12_hombre,nota_12_14,porc_nota_12_14_mujer,porc_nota_12_14_hombre,tipo_fila
2024,2024/2025,Centros propios,0E06,30008236,Facultad de Letras,G,Grado,243,2500368,Grado en Estudios Franceses,6,0,0,,,2,50.0,50.0,3,66.66666666666667,33.333333333333336,1,100.0,0.0,F
2024,2024/2025,Centros propios,0E27,30011831,Facultad de Psicología,G,Grado,204,2500493,Grado en Logopedia,97,1,31,90.3225806451613,9.67741935483871,42,97.61904761904762,2.380952380952381,22,100.0,0.0,1,100.0,0.0,F
2024,2024/2025,Centros propios,0E37,30013645,Facultad de Economía y Empresa,G,Grado,229,2500721,Grado en Economía,140,1,0,,,23,39.130434782608695,60.869565217391305,84,33.333333333333336,66.66666666666667,32,62.5,37.5,F
2024,2024/2025,Centros propios,0E37,30013645,Facultad de Economía y Empresa,G,Grado,252,2502061,Grado en Marketing,70,4,0,,,0,,,42,71.42857142857143,28.571428571428573,24,62.5,37.5,F
2024,2024/2025,Centros propios,0E39,30011430,Facultad de Comunicación y Documentación,G,Grado,227,2500856,Grado en Publicidad y Relaciones Públicas,59,1,0,,,12,83.33333333333333,16.666666666666668,42,83.33333333333333,16.666666666666668,4,100.0,0.0,F
2024,2024/2025,Centros adscritos,0E92,30013281,Facultad de Turismo,G,Grado,247,2500720,Grado en Turismo,6,0,2,100.0,0.0,3,66.66666666666667,33.333333333333336,1,100.0,0.0,0,,,F
2024,2024/2025,Centros adscritos,0E94,30011545,Isen Formación Universitaria,G,Grado,260,2503645,Grado en Seguridad,17,0,1,0.0,100.0,9,33.333333333333336,66.66666666666667,6,33.333333333333336,66.66666666666667,1,100.0,0.0,F
2024,2024/2025,Centros propios,0E04,30008224,Facultad de Derecho,G,Grado,249,7000044,Programación Conjunta de Estudios Oficiales de Grado en Ade y Grado en Derecho,89,3,0,,,0,,,0,,,86,65.11627906976744,34.883720930232556,F
2024,2024/2025,Centros propios,0E05,30009617,Facultad de Filosofía,G,Grado,212,2500371,Grado en Filosofia,40,0,3,33.333333333333336,66.66666666666667,15,40.0,60.0,18,77.77777777777777,22.22222222222222,4,75.0,25.0,F
2024,2024/2025,Centros propios,0E37,30013645,Facultad de Economía y Empresa,G,Grado,231,2500718,Grado en Administración y Dirección de Empresas,323,7,34,32.35294117647059,67.6470588235294,80,28.75,71.25,177,42.93785310734463,57.06214689265537,25,68.0,32.0,F
2024,2024/2025,Centros propios,0E36,30013591,Facultad de Bellas Artes,G,Grado,209,2500491,Grado en Bellas Artes,95,2,4,75.0,25.0,24,79.16666666666667,20.833333333333332,54,87.03703703703704,12.962962962962964,11,100.0,0.0,F
2024,2024/2025,Centros propios,0E07,30008248,Facultad de Medicina,G,Grado,240,2501001,Grado en Fisioterapia,72,4,0,,,0,,,51,70.58823529411765,29.41176470588235,17,52.94117647058823,47.05882352941177,F
