Code,Academic Year,Degree,DegreeID,UniversityID,AcademicLevelID,AmbitID
4313669,2024-2025,Acceso a la Abogacía y la Procura,5117dfdc7c77a68804cacdc30967441c,dcbcd7e79ed9bec816e6a427d84bbf64,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4317075,2024-2025,Ciencia de Datos y Aprendizaje Automático,7f612154b29a4f1bf5cc50732c931cd6,dcbcd7e79ed9bec816e6a427d84bbf64,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4315123,2024-2025,Estudios Avanzados en Humanidades,c1d16b8cc1fb603820d9040e1181f1a5,dcbcd7e79ed9bec816e6a427d84bbf64,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8
4315157,2024-2025,Gestión de Empresas,9adaa97541057a6fd49d1c3758c598ba,dcbcd7e79ed9bec816e6a427d84bbf64,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4315151,2024-2025,Ingeniería Agronómica,66d99aaba1ce2909cdc027371682fbbf,dcbcd7e79ed9bec816e6a427d84bbf64,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4314512,2024-2025,Ingeniería Industrial,d55a2744fdc84f2064a32f26da865002,dcbcd7e79ed9bec816e6a427d84bbf64,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4315108,2024-2025,Intervención e Innovación Educativa,1c0166bcca0e4137b1e2ece5914f1f07,dcbcd7e79ed9bec816e6a427d84bbf64,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4314460,2024-2025,Musicología,62d79dd4fb0980ddd7d650e93e16f69b,dcbcd7e79ed9bec816e6a427d84bbf64,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8
4318615,2024-2025,Procesamiento del Lenguaje y Aplicaciones de la Inteligencia Artificial a la Lingüística,632a21e46d90c43118cec837e0dcbeff,dcbcd7e79ed9bec816e6a427d84bbf64,eb0a191797624dd3a48fa681d3061212,3a55b686cea34a8923b6ea395549772e
4311182,2024-2025,"Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanzas de Idiomas",8ab3a56e6a55fc75dd5f93f44de0f89b,dcbcd7e79ed9bec816e6a427d84bbf64,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4315080,2024-2025,Química y Biotecnología,a491878d8abf7ea06f64fc023ca96893,dcbcd7e79ed9bec816e6a427d84bbf64,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4315117,2024-2025,"Tecnología, Gestión e Innovación Vitivinícola",63edc1b9e8bbfb6f6bcc3c187a351df7,dcbcd7e79ed9bec816e6a427d84bbf64,eb0a191797624dd3a48fa681d3061212,3a55b686cea34a8923b6ea395549772e
