Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,4310151,Enseñanza y Adquisición de la Lengua Inglesa en Contextos Multilingües,Universidad Jaume I de Castellón,Máster,Artes y Humanidades
2024-2025,4310436,"Estudios Internacionales de Paz, Conflictos y Desarrollo",Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311713,Ética y Democracia,Universidad Jaume I de Castellón,Máster,Artes y Humanidades
2024-2025,3500734,Gestión Administrativa,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310153,Gestión Financiera y Contabilidad Avanzada,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311729,Historia del Arte y Cultura Visual,Universidad Jaume I de Castellón,Máster,Artes y Humanidades
2024-2025,4314602,Historia e Identidades en el Mediterráneo Occidental (Siglos XV-XIX),Universidad Jaume I de Castellón,Máster,Artes y Humanidades
2024-2025,4311734,Igualdad y Género en el Ámbito Público y Privado,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4314493,Ingeniería Industrial,Universidad Jaume I de Castellón,Máster,Ingeniería y Arquitectura
2024-2025,4310156,Innovación en Comunicación,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4314576,Intervención y Mediación Familiar,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311836,"Investigación Aplicada en Estudios Feministas, de Género y Ciudadanía",Universidad Jaume I de Castellón,Máster,Artes y Humanidades
2024-2025,4315533,Investigación en Cerebro y Conducta,Universidad Jaume I de Castellón,Máster,Ciencias de la Salud
2024-2025,4312378,Investigación en Traducción e Interpretación / Master in Researching Translation and Interpreting,Universidad Jaume I de Castellón,Máster,Artes y Humanidades
2024-2025,4311835,Lengua Inglesa para el Comercio Internacional/Master in English Language for International Trade (ELIT),Universidad Jaume I de Castellón,Máster,Artes y Humanidades
2024-2025,4310904,Marketing e Investigación de Mercados,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311737,Matemática Computacional,Universidad Jaume I de Castellón,Máster,Ciencias
2024-2025,4310157,Prevención de Riesgos Laborales,Universidad Jaume I de Castellón,Máster,Ciencias
2024-2025,4311736,"Profesor/a de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanzas de Idiomas",Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4313943,Protección Integrada de Cultivos,Universidad Jaume I de Castellón,Máster,Ingeniería y Arquitectura
2024-2025,4314696,"Psicología del Trabajo, de las Organizaciones y en Recursos Humanos",Universidad Jaume I de Castellón,Máster,Ciencias de la Salud
2024-2025,4314859,Psicología General Sanitaria,Universidad Jaume I de Castellón,Máster,Ciencias de la Salud
2024-2025,4313192,Psicopedagogía,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4312534,Química Aplicada y Farmacológica,Universidad Jaume I de Castellón,Máster,Ciencias
2024-2025,4317480,Química Sostenible,Universidad Jaume I de Castellón,Máster,Ciencias
2024-2025,4314273,Química Teórica y Modelización Computacional,Universidad Jaume I de Castellón,Máster,Ciencias
2024-2025,4313200,Rehabilitación Psicosocial en Salud Mental Comunitaria,Universidad Jaume I de Castellón,Máster,Ciencias de la Salud
2024-2025,4311669,Sistema de Justicia Penal,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310159,Sistemas Inteligentes,Universidad Jaume I de Castellón,Máster,Ingeniería y Arquitectura
2024-2025,4310148,Sostenibilidad y Responsabilidad Social Corporativa,Universidad Jaume I de Castellón,Máster,Ciencias Sociales y Jurídicas
2024-2025,4310437,Técnicas Cromatográficas Aplicadas,Universidad Jaume I de Castellón,Máster,Ciencias
2024-2025,4310161,Traducción Médico-Sanitaria,Universidad Jaume I de Castellón,Máster,Artes y Humanidades
2024-2025,4317521,Erasmus Mundus en Robótica Inteligente Marina y Marítima / Erasmus Mundus Master in Marine and Maritime Intelligent Robotics,Universidad Jaume I de Castellón,Máster,Ingeniería y Arquitectura
2024-2025,4318281,Erasmus Mundus en Tecnología Geoespacial / Master in Geospatial Technologies,Universidad Jaume I de Castellón,Máster,Ingeniería y Arquitectura
