Academic Year,Code,Degree,University,Academic Level,Ambit
2024-2025,4310569,"Ingeniería Avanzada de Producción, Logística y Cadena de Suministro",Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4317640,Ingeniería Bioambiental y del Paisaje,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4315921,Ingeniería Biomédica,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4311606,"Ingeniería de Análisis de Datos, Mejora de Procesos y Toma de Decisiones",Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314647,"Ingeniería de Caminos, Canales y Puertos",Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310284,Ingeniería de Computadores y Redes,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314473,Ingeniería de Montes,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314071,Ingeniería de Organización y Logística,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310971,Ingeniería de Sistemas Electrónicos,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314518,Ingeniería de Telecomunicación,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310973,Ingeniería del Diseño,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310974,Ingeniería del Hormigón,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310975,Ingeniería del Mantenimiento,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4318298,Ingeniería en Movilidad Eléctrica,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4318375,Ingeniería Estructural y Geotécnica,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314646,Ingeniería Geomática y Geoinformación,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310977,Ingeniería Hidráulica y Medio Ambiente,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314524,Ingeniería Industrial,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314526,Ingeniería Informática,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310978,Ingeniería Mecánica,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314067,Ingeniería Mecatrónica,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314065,"Ingeniería, Procesado y Caracterización de Materiales",Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4314523,Ingeniería Química,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4315002,Ingeniería Textil,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310972,Ingeniería y Tecnología de Sistemas Software,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310963,Innovación en el Hábitat,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310979,"Inteligencia Artificial, Reconocimiento de Formas e Imagen Digital",Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4318551,Inteligencia Turística,Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4313930,Investigación Matemática,Universitat Politècnica de València,Máster,Ciencias
2024-2025,4311609,Lenguas y Tecnología,Universitat Politècnica de València,Máster,Artes y Humanidades
2024-2025,4317948,Mecánica de Fluidos Computacional,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4311610,Mejora Genética Animal y Biotecnología de la Reproducción,Universitat Politècnica de València,Máster,Ciencias
2024-2025,4316840,Mejora Genética Vegetal,Universitat Politècnica de València,Máster,Ciencias
2024-2025,3500453,Paisaje y Urbanismo,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4310976,Planificación y Gestión en Ingeniería Civil,Universitat Politècnica de València,Máster,Ingeniería y Arquitectura
2024-2025,4311612,Postproducción Digital,Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
2024-2025,4311613,Prevención de Riesgos Laborales,Universitat Politècnica de València,Máster,Ciencias de la Salud
2024-2025,4311614,Producción Artística,Universitat Politècnica de València,Máster,Artes y Humanidades
2024-2025,3500182,Profesor/a de Educación Secundaria,Universitat Politècnica de València,Máster,Ciencias Sociales y Jurídicas
