Code,Degree,DegreeID,UniversityID,AcademicLevelID,AmbitID
4315836,Investigación Biomédica,8541686e9e68e6c832666d44c3be7c7a,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
4317736,Investigación e Innovación en Salud,dc25140a2cfc9909044ee4ae7ee71960,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
4317705,Investigación e Intervención Psicoeducativa,4a698d87cb1262292c0f2657917e5d42,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4317924,Investigación en Ciencias de la Actividad Física y el Deporte,5c413124c8e3a04fca0fd60d3f39afd9,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4310523,Lenguas y Literaturas Modernas,2546b786570e337b28e0dc25591d0d4c,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8
4313607,Microbiología Avanzada por la Universidad de las Illes Balears,d7031ec4ae67b04a4896271d7aae9a93,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4314200,Neurociencias,c31e69f5b5e5d46933e25e5be1b9b52a,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
4314855,Nutrición y Alimentación Humana,b0db4834b790adc1f9890c02ed549acd,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
4314277,Nutrigenómica y Nutrición Personalizada,6d2e0cd07950abfd291faa75e0d1a70b,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4318535,Odontología Digital / Master's Degree in Digital Dentistry,dba29558b9d96a7f101bedd9da1155f6,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
4310137,Patrimonio Cultural: Investigación y Gestión,23844606aa377c02bd8d743e19337171,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8
4310138,Políticas de Igualdad y Prevención de la Violencia de Género,69624fbeb9991ec6df0b9515a3423049,2f0fa6cb7c08610911b3258fd5f2738a,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
