Código;Título;Universidad;Nivel académico;Rama;Ámbito;Estado;Detalle
4313072;Máster Universitario en Banca y Finanzas por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3003063;Máster Universitario en Biodiversidad en Áreas Tropicales y su Conservación;Universidad Internacional Menéndez Pelayo;Máster - RD 56/2005 (2);Ciencias;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4315884;Máster Universitario en Biodiversidad en Áreas Tropicales y su Conservación por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias;Ciencias medioambientales y ecología;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
4310720;Máster Universitario en Biodiversidad en Áreas Tropicales y su Conservación por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4317698;Máster Universitario en Bioética Clínica por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias de la Salud;Ciencias Biomédicas;Publicado en B.O.E.;
4315882;Máster Universitario en Biología Molecular y Celular Integrativa por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4317788;Máster Universitario en Biología Sintética Integrativa por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias;;Publicado en B.O.E.;
3003064;Máster Universitario en Cambio Global;Universidad Internacional Menéndez Pelayo;Máster - RD 56/2005 (2);Ciencias;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4310719;Máster Universitario en Cambio Global por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4316323;Máster Universitario en Ciencia de Datos/Master in Data Science por la Universidad de Cantabria y la Universidad Internacional Menéndez Pelayo;(Conjunto);Máster - RD 1393/2007 (1);Ciencias;Matemáticas y estadística;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
4315353;Máster Universitario en Comunicación de la Administración Pública por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4313677;Máster Universitario en Cooperación Internacional y Gestión de Políticas Públicas, Programas y Proyectos de Desarrollo por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;Ciencias sociales, trabajo social, relaciones laborales y recursos humanos, sociología, ciencia política y relaciones internacionales;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
3003067;Máster Universitario en Cristalografía y Cristalización;Universidad Internacional Menéndez Pelayo;Máster - RD 56/2005 (2);Ciencias;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4311261;Máster Universitario en Cristalografía y Cristalización por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4312777;Máster Universitario en Derecho Constitucional por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;Derecho y especialidades jurídicas;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
4313680;Máster Universitario en Derecho Internacional Público y Relaciones Internacionales por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4317065;Máster Universitario en Dirección y Liderazgo Públicos por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;
3000430;Máster Universitario en Economía y Finanzas;Universidad Internacional Menéndez Pelayo;Máster - RD 56/2005 (2);Ciencias Sociales y Jurídicas;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4311260;Máster Universitario en Economía y Finanzas por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
3000429;Máster Universitario en Energías Renovables, Pilas de Combustible e Hidrógeno;Universidad Internacional Menéndez Pelayo;Máster - RD 56/2005 (2);Ciencias Sociales y Jurídicas;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4311262;Máster Universitario en Energías Renovables, Pilas de Combustible e Hidrógeno por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
3000427;Máster Universitario en Enseñanza del Español como Lengua Extranjera;Universidad Internacional Menéndez Pelayo;Máster - RD 56/2005 (2);Ciencias Sociales y Jurídicas;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
3500361;Máster Universitario en Enseñanza del Español como Lengua Extranjera por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 822/2021 (3);Artes y Humanidades;Filología, estudios clásicos, traducción y lingüística;Publicado en B.O.E.;
4310718;Máster Universitario en Enseñanza del Español como Lengua Extranjera por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN RENOVADA)
4313679;Máster Universitario en Estudios Políticos Aplicados por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Ciencias Sociales y Jurídicas;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
4316426;Máster Universitario en Física de Partículas y del Cosmos por la Universidad de Cantabria y la Universidad Internacional Menéndez Pelayo;(Conjunto);Máster - RD 1393/2007 (1);Ciencias;Física y astronomía;Publicado en B.O.E.;(TITULACIÓN RENOVADA POR ACREDITACIÓN INSTITUCIONAL)
3003066;Máster Universitario en Fonética y Fonología;Universidad Internacional Menéndez Pelayo;Máster - RD 56/2005 (2);Artes y Humanidades;;"Autorizado por Comunidad Aut&oacute;noma";(TITULACIÓN EXTINGUIDA)
4310144;Máster Universitario en Fonética y Fonología por la Universidad Internacional Menéndez Pelayo;Universidad Internacional Menéndez Pelayo;Máster - RD 1393/2007 (1);Artes y Humanidades;;Publicado en B.O.E.;(TITULACIÓN EXTINGUIDA)
