Code,Academic Year,Degree,Degree ID,University,University ID,Academic Level,Academic Level ID,Knowledge Area,Knowledge Area ID,Type
4312106,2024-2025,Gestión y Dirección de Empresas e Instituciones Turísticas,c1a23ebe434c2eabff853d3eb8168960,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",PÃºblica
4317578,2024-2025,Industria 4.0,f49b18db46b6acbbc4f9e011700e334d,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4314594,2024-2025,Ingeniería Agronómica,c733fba27051543f8d526982bff7e28c,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4310259,2024-2025,Ingeniería Ambiental y de Procesos Químicos y Biotecnológicos,df5ad8a59919da83060cbccb1c5d5234,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4314062,2024-2025,Ingeniería Ambiental y de Procesos Sostenibles,b130312cc8b7d887e8a8ab28d0d8cece,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4312723,2024-2025,"Ingeniería de Caminos, Canales y Puertos",e7c0d5fb35c360884bee5f92ea461151,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4317388,2024-2025,Ingeniería de Minas,9e460e32b0e3c7697eff8fe44ac3b5d3,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4312975,2024-2025,Ingeniería de Telecomunicación,a6d6ec8e0a228df4c83f625be8272680,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4310774,2024-2025,Ingeniería del Agua y del Terreno,318d8ab3067a83074efc6689fcfccdef,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4313869,2024-2025,Ingeniería Industrial,10b45ad72e321610840e17684110ee38,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
3500365,2024-2025,Ingeniería Militar Aeroespacial,73436e45206248aa20a2a7bec9a21f5f,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4314675,2024-2025,Ingeniería Naval y Oceánica,8290f52b763664548223e3d34f2b28fc,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4316880,2024-2025,Ingeniería Telemática,d20b36fc0e4af6a3307852915be774b4,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4310260,2024-2025,"Innovación, Desarrollo y Sostenibilidad Agroalimentaria",0c8dff8c7b7cb9d36cfbb1481daa4fc5,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4317241,2024-2025,Metodología BIM para el Desarrollo de Proyectos de Infraestructuras,b0cefc25f77907534d4e8c4d352c7bb5,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4315343,2024-2025,Organización Industrial,d059fdd57cd8bbc251ad50f6894d54d9,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4312734,2024-2025,Patrimonio Arquitectónico,cf506b2f9071c1e3c82a1a08d6148999,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4315811,2024-2025,Sistemas Electrónicos e Instrumentación,68bdd5a57ae9179a1234017205a82c11,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4316381,2024-2025,Técnicas de Ayuda a la Decisión,94a555950ec92bca5c6598205f38170d,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",PÃºblica
4314225,2024-2025,Tecnología de Edificación,48f88070a7b67866d12f85f44b967fc0,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
4311462,2024-2025,Tecnologías de la Información y Comunicaciones,d8158628ac3e6624062dd80f6b0938a0,Universidad Politécnica de Cartagena,e4aee90dd75f5fd5dc35bc4653bd9065,Máster,"eb0a191797624dd3a48fa681d3061212",Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,PÃºblica
