Academic Year,Centre Code,Faculty,Faculty ID,University,University ID,Academic Level,Academic Level ID,Degree Code,Degree,Degree ID,Knowledge Area,Knowledge Area ID,nota_corte
2024-2025,30011430,Facultad de Comunicación y Documentación,4e1a7d2a4a121e855e078ea873f18e11,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4314678,Comunicación Móvil y Contenido Digital,ffc441254d99fc81b56e600b27ea6b7a,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",6.59
2024-2025,30008224,Facultad de Derecho,288d0da066d511cc53b58999dd5950b6,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4317821,Criminología y Delincuencia,f3be7502a38201faedfe594f5f5f37c6,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",5.0
2024-2025,30011727,Facultad de Trabajo Social,92ececb5ef00e2cadfc2d1b763f9b723,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4317038,Dependencia,0071e4f1b10c5a9312aeafd974b609ac,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",6.17
2024-2025,30013645,Facultad de Economía y Empresa,ef2db1984f3433e9610f84c2b66e0456,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312434,Dirección de Empresas (MBA),c608095011530ba702227cd7dd136848,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",6.52
2024-2025,30011387,Facultad de Ciencias del Trabajo,2f43d31867f2aad9e169b3a8d70abc4e,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4315156,Dirección y Gestión de Recursos Humanos,16f16047a7e8322e4aa2a4c1ba96416a,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",6.13
2024-2025,30014157,"Escuela de Negocios, Dirección y Administración",210293d486c74ccd7ae9239b69e80c51,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4317167,Dirección y Gestión en Comercio Internacional / International Trade,134c7b028daac09fabca9ac94f2e57be,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",6.89
2024-2025,30011961,Facultad de Educación,5afcf07f7c18034598dc5881a5d380e3,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312094,"Educación y Museos: Patrimonio, Identidad y Mediación Cultural",3db842b0298c449ecb2f9a7baf3cdbf2,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",6.18
2024-2025,30011821,Facultad de Enfermería,a63382c4550cc808ac171ccc700326e7,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4318140,Enfermería en la Atención y Cuidados del Paciente Crítico,9cc55b5d8cfb9e8440c063cb1df4b522,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",5.0
2024-2025,30008248,Facultad de Medicina,645ccb75ce30b4d9cf15a6825de02c84,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312078,Envejecimiento,667470f2ea2889566fcc0da0d7e670e0,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",5.0
2024-2025,30013645,Facultad de Economía y Empresa,ef2db1984f3433e9610f84c2b66e0456,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4310193,Finanzas,669e2a20226e53b649f382a70d4bde24,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",5.92
2024-2025,30008248,Facultad de Medicina,645ccb75ce30b4d9cf15a6825de02c84,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4315529,Fisioterapia Neurológica del Niño y el Adulto,932acce39d325a5e2064bc4d9c9a1dee,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",5.0
2024-2025,30011961,Facultad de Educación,5afcf07f7c18034598dc5881a5d380e3,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4310621,"Formación del Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional, Enseñanzas de Idiomas y Enseñanzas Artísticas",28d453c212490c15ccc01e9d35ddb20d,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",
2024-2025,30008248,Facultad de Medicina,645ccb75ce30b4d9cf15a6825de02c84,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4317700,"Gestión Clínica, Calidad y Seguridad del Paciente",d2fa2a69a6ae3aa6e483d93cea3c242c,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",5.0
2024-2025,30013281,Facultad de Turismo,2d3a5a7f976693ea91060ab6e229b53f,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312096,Gestión Hotelera,2e47c64f97f21f2531254c9f3f7e1498,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",5.6
2024-2025,30010221,Facultad de Biología,dcd2478730465208260674beb6323b0b,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312068,Gestión de Recursos Pesqueros y Agricultura,369801b4be2ebdfc1f86864ae2da267f,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",5.0
2024-2025,30014157,"Escuela de Negocios, Dirección y Administración",210293d486c74ccd7ae9239b69e80c51,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4317435,Gestión de Riesgos en las Organizaciones,4c303792eb924448d45b2a7c08357416,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",7.0
2024-2025,30008224,Facultad de Derecho,288d0da066d511cc53b58999dd5950b6,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4310537,Género e Igualdad,223de90374cb2f6281df7855fe23e5cf,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,7.02
2024-2025,30008248,Facultad de Medicina,645ccb75ce30b4d9cf15a6825de02c84,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4312081,Hematología y Oncología Clínico-Experimental,06a6e55cd22d215a56c2e67d19112c93,Ciencias de la Salud,"afc4b5d3b7e78e8fb66cf859c95aaefe",5.0
2024-2025,30008236,Facultad de Letras,fe7c0e584bd8d76dcb030562f0171861,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4313910,Historia y Patrimonio Histórico,be4cc9e6e62be716b4204cc2f5b7c5ce,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,7.25
2024-2025,30011961,Facultad de Educación,5afcf07f7c18034598dc5881a5d380e3,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4314768,"Inclusión-Exclusión Social y Educativa: Políticas, Programas y Prácticas",42a0a9c35943d415e200d6714fa9478e,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",7.17
2024-2025,30010218,Facultad de Química,ec8a9e514edd57590d39bcac53b878de,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4317424,Ingeniería Química,b5a1619dd7d7521952e1c62340e607a5,Ciencias,"cca488c1d5d31aa9a4c4356b47f75ebd",6.3
2024-2025,30011715,Facultad de Informática,de53397f361c08b30696e7a678f3c031,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4318225,Ingeniería del Sofware / Master in Software Engineering,b0d1bd1cb701e85e7369913d88ef764a,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",5.88
2024-2025,30011715,Facultad de Informática,de53397f361c08b30696e7a678f3c031,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,3500006,Inteligencia Artificial,3c14bcfe2207376c3130f6ab59b5670c,Ingeniería y Arquitectura,"0957ac6a7296b4e6ef4d4e8d25691025",6.49
2024-2025,30011831,Facultad de Psicología,346f01b7d8ce52a0eae23e2aa55a9996,Universidad de Murcia,f5636bc297db763f969bab88b5492ba3,Máster,eb0a191797624dd3a48fa681d3061212,4317518,Intervención Logopédica en la Deglución,150f9a5fb8a9a98952ab4d27524a1329,Ciencias Sociales y Jurídicas,"03b7c4d6f22bd8efa1659d8e6a06d97e",7.56
