"curso_academico","cod_universidad","des_universidad","cod_tipo_estudio","des_tipo_estudio","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_municipio","des_municipio","cod_campus","des_campus","cod_titulacion","des_titulacion","cod_rama","des_rama","cod_interuniversitario","des_interuniversitario","cod_rol_coordinacion","des_rol_coordinacion","cod_impartido","des_impartido","anio_inicio","cod_situacion_actual","des_situacion_actual","cod_grado_presencialidad","des_grado_presencialidad","cod_idioma_extranjero","des_idioma_extranjero","precio_credito_1","precio_credito_2","precio_credito_3","precio_credito_4","precio_credito_5","precio_tutela","num_creditos_necesarios","num_creditos_ofertados"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4312611","MÁSTER UNIVERSITARIO EN ANÁLISIS DE LAS RELACIONES ECONÓMICAS INTERNACIONALES","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","81"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4312130","MÁSTER UNIVERSITARIO EN DIRECCIÓN INTERNACIONAL CONTABLE Y FINANCIERA ON-LINE","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","3","Estudio no presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"90","72"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4312022","MÁSTER UNIVERSITARIO EN ARTES ESCÉNICAS","1","Artes y Humanidades","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","60"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4311943","MÁSTER UNIVERSITARIO EN VISIÓN ARTIFICIAL","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","1","Estudio presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","60"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4311452","MÁSTER UNIVERSITARIO EN TÉCNICAS DE CONSERVACIÓN DE LA BIODIVERSIDAD Y ECOLOGÍA","2","Ciencias","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","3","En proceso de extinción","1","Estudio presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","72"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054221","Escuela de Másteres Oficiales","28092","MÓSTOLES","05603","Móstoles","4310316","MÁSTER UNIVERSITARIO EN INGENIERÍA DE SISTEMAS DE DECISIÓN ON-LINE","4","Ingeniería y Arquitectura","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2010","1","Activo","3","Estudio no presencial","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","66"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28053101","Unidad de Postgrado","28092","MÓSTOLES","05603","Móstoles","4310310","MÁSTER UNIVERSITARIO EN ASESORAMIENTO Y PLANIFICACIÓN FINANCIERA","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","1","Se imparte en el curso académico de referencia","2009","1","Activo","4","Varias modalidades","0","No se oferta en idioma extranjero","45,02","71,88","84,07","84,07",,,"60","126"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054002","Centro de Educación Superior EAE Madrid","28079","MADRID","05615","Campus del centro ""Centro de Educación Superior EAE Madrid""","4312611","MÁSTER UNIVERSITARIO EN ANÁLISIS DE LAS RELACIONES ECONÓMICAS INTERNACIONALES","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","0","No se imparte en el curso académico de referencia","2010","4","Extinguido en el curso de referencia","1","Estudio presencial","0","No se oferta en idioma extranjero","11,26","17,97","21,02","21,02",,,"60","60"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054002","Centro de Educación Superior EAE Madrid","28079","MADRID","05615","Campus del centro ""Centro de Educación Superior EAE Madrid""","4310310","MÁSTER UNIVERSITARIO EN ASESORAMIENTO Y PLANIFICACIÓN FINANCIERA","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","0","No se imparte en el curso académico de referencia","2009","4","Extinguido en el curso de referencia","4","Varias modalidades","0","No se oferta en idioma extranjero","11,26","17,97","21,02","21,02",,,"60","120"
"2024-25","056","Universidad Rey Juan Carlos","M","Máster","1","Centro","28054002","Centro de Educación Superior EAE Madrid","28079","MADRID","05615","Campus del centro ""Centro de Educación Superior EAE Madrid""","4315793","MÁSTER UNIVERSITARIO EN DIRECCIÓN DE LA CADENA DE SUMINISTRO","3","Ciencias Sociales y Jurídicas","0","No es Interuniversitario","8","No Aplica","0","No se imparte en el curso académico de referencia","2016","4","Extinguido en el curso de referencia","1","Estudio presencial","0","No se oferta en idioma extranjero","11,26","17,97","21,02","21,02",,,"60","132"
