Code,Degree,University,UniversityId,Unique Identifier,Academic Level,Ambit,Academic Year
4310551,"Formación del Profesorado de Educación Secundaria Obligatoria, Bachillerato y Formación Profesional",Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,"Universidad De Oviedo Formación del Profesorado de Educación Secundaria Obligatoria, Bachillerato y Formación Profesional",Máster,Ciencias Sociales y Jurídicas,2023-2024
4310232,Género y Diversidad,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Género y Diversidad,Máster,Artes y Humanidades,2023-2024
4316717,Geotecnología y Desarrollo de Proyectos SIG,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Geotecnología y Desarrollo de Proyectos SIG,Máster,Ingeniería y Arquitectura,2023-2024
4310543,Historia y Análisis Sociocultural,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Historia y Análisis Sociocultural,Máster,Artes y Humanidades,2023-2024
4313659,Ingeniería de Automatización e Informática Industrial,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería de Automatización e Informática Industrial,Máster,Ingeniería y Arquitectura,2023-2024
4316021,"Ingeniería de Caminos, Canales y Puertos",Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,"Universidad De Oviedo Ingeniería de Caminos, Canales y Puertos",Máster,Ingeniería y Arquitectura,2023-2024
4314925,Ingeniería de Minas,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería de Minas,Máster,Ingeniería y Arquitectura,2023-2024
4314927,Ingeniería de Telecomunicación,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería de Telecomunicación,Máster,Ingeniería y Arquitectura,2023-2024
4310560,Ingeniería Energética,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Energética,Máster,Ingeniería y Arquitectura,2023-2024
4317391,Ingeniería Industrial,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Industrial,Máster,Ingeniería y Arquitectura,2023-2024
4312884,Ingeniería Informática,Universidad De Oviedo,094757ed9d7e9bb8929a087e18874962,Universidad De Oviedo Ingeniería Informática,Máster,Ingeniería y Arquitectura,2023-2024
