UniversityID,FacultyID,Degree,DegreeID,AcademicLevelID,AmbitID,Academic Year
c8b4be930789e86c8d8b17d773af6d7e,fe2fbde5936b071cd86eec32718c53be,PCEO Ingeniería Forestal y del Medio Natural y Grado Ciencias Ambientales,8b7a06f87169f364eb654ed25d4eb14d,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,010a719fb876dabd413a8cdcd2521d8e,Ciencias de la Actividad Física y del Deporte,7b426485a80628d6a96184ed8b424435,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,48d729a2d82d7dfa63a093f960271a46,Enfermería,c569db23bc1d77b9118be7aa073d24ab,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,49f1becb705172968ad7b5dfb966b9e6,Relaciones Laborales y Recursos Humanos,9cc3b88a0e412cd3edddbef7bca59d05,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,61484ca2077ed5641c3471001a312e8f,Administración y Dirección de Empresas,56d6af26dd9bad2fb889081e3a03ba5d,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,61484ca2077ed5641c3471001a312e8f,Comercio Internacional,7bc2e0e395f4a764d9a1a2d3d3896e28,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,61484ca2077ed5641c3471001a312e8f,Economía,7dd9cfc4d91369b5acd5d4af54417f65,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,61484ca2077ed5641c3471001a312e8f,Finanzas,4ab2e0f4d6c07b682dabfbdcbd03da02,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,61484ca2077ed5641c3471001a312e8f,Marketing e Investigación de Mercados,fb66addd91c8563ba5fa6f4b97c5b990,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,61484ca2077ed5641c3471001a312e8f,Turismo,e4a1e0d4fd871338237283a809125503,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,d4a0fc7db565bf0347c3c31da46a6ba6,Derecho,770b2ef87a225bdd0b28e4df4bcc6ece,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,d4a0fc7db565bf0347c3c31da46a6ba6,PCEO Derecho y Administración y Dirección de Empresas,eca61abb3b4d568075484f9af6b85438,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,8d318407c4596aa8e2c7af34b1adf9f5,Educación Infantil,1e4e2be831543c5e97c12e242d22d9bd,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,8d318407c4596aa8e2c7af34b1adf9f5,Educación Primaria,90fca4fc30a18ecc0aa1a44dab29deed,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,8d318407c4596aa8e2c7af34b1adf9f5,Educación Social,007d6e1ef120f2385a0304b8bfcf7f3a,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,193c5d38f0565f9a97c3ca11208a2e49,"Filología Moderna, Inglés",be97e70f1dd29f44c68ede44d35aa2f9,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,193c5d38f0565f9a97c3ca11208a2e49,Geografía y Ordenación del Territorio,b509374062a9f5573470e0f7bcfa53a7,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,193c5d38f0565f9a97c3ca11208a2e49,Historia,c4684ae58f2fcb3a8d744d2b5caa6221,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,193c5d38f0565f9a97c3ca11208a2e49,Historia del Arte,b2b69486d698dc751269e0d06ca7aea5,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,193c5d38f0565f9a97c3ca11208a2e49,Información y Documentación,9f8c1a50592cc172e61a5d9a8089ae86,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,193c5d38f0565f9a97c3ca11208a2e49,Lengua Española y su Literatura,7becb9316da56e07afea7dfde989e31d,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,193c5d38f0565f9a97c3ca11208a2e49,PCEO Historia y Historia del Arte,2ce31b094a1e3d3db75b16c92f5b9102,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,826864c3f9cf213b2dfb13d2eb7010c1,Ciencia y Tecnología de los Alimentos,045ff3af8160b019e1a1c30ffab210ba,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,826864c3f9cf213b2dfb13d2eb7010c1,Veterinaria,4c3ac3acae06b127f1a4e97ad8815e16,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,19379b73b3b7ab8db4d1b3b0b92c4e3f,Ingeniería Forestal y del Medio Natural,25fec21fa1029e0dc79fca1e5f26b3ee,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,9952fa217aab3225a9450c1dd24ff66b,Ingeniería en Geomática y Topografía,e3d18ea8b7df2c70a85388f3879825e7,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,48d729a2d82d7dfa63a093f960271a46,Nutrición Humana y Dietética,f87c9ce47eebe680e2b6b9c18ae531b0,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,48d729a2d82d7dfa63a093f960271a46,Enfermería,c569db23bc1d77b9118be7aa073d24ab,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,48d729a2d82d7dfa63a093f960271a46,Fisioterapia,67c25f454b13cfa0e74442ee9fcb5e03,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
c8b4be930789e86c8d8b17d773af6d7e,48d729a2d82d7dfa63a093f960271a46,Podología,1f06ce1bb77757ae38a94d5fb3b5f23f,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
51dcd00716a08519e65a732cb87c3b71,12ca7a59a88ed75e4a1a78c60ef11dba,Estudios Policiales,95eb184ef36cfad15934b6e8b2fc43e5,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
