"Código","Título","Universidad","Nivel académico","Rama","Ámbito","Estado","Detalle"
"5311870","Programa Oficial de Doctorado en Inmunología, Microbiología y Parasitología","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311400","Programa Oficial de Doctorado en Integración de las Energías Renovables en el Sistema Eléctrico","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310782","Programa Oficial de Doctorado en Integración Económica","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311401","Programa Oficial de Doctorado en Integración Política y Unión Económica en la Unión Europea","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311893","Programa Oficial de Doctorado en Investigación Biomédica","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311640","Programa Oficial de Doctorado en Investigación y Creación en Arte","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311402","Programa Oficial de Doctorado en Láseres y Aplicaciones en Química","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311404","Programa Oficial de Doctorado en Lingüística","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310783","Programa Oficial de Doctorado en Lingüística y Filología Vasca","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311405","Programa Oficial de Doctorado en Literatura Comparada y Estudios Literarios","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310784","Programa Oficial de Doctorado en Matemáticas","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311408","Programa Oficial de Doctorado en Medio Ambiente y Recursos Marinos","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311406","Programa Oficial de Doctorado en Modelos y Áreas de Investigación en Ciencias Sociales","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310785","Programa Oficial de Doctorado en Neurociencias","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311407","Programa Oficial de Doctorado en Nutrición y Salud","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310786","Programa Oficial de Doctorado en Psicodidáctica: Psicología de la Educación y Didácticas Específicas","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310787","Programa Oficial de Doctorado en Psicología: Individuo, Grupo, Organización y Cultura","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310788","Programa Oficial de Doctorado en Química Aplicada y Materiales Poliméricos","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310789","Programa Oficial de Doctorado en Química Sintética e Industrial","(Conjunto)","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310092","Programa Oficial de Doctorado en Química Teórica y Modelización Computacional","(Conjunto)","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5311871","Programa Oficial de Doctorado en Salud Pública","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
"5310791","Programa Oficial de Doctorado en Sistemas Electrónicos Avanzados","Universidad del País Vasco/Euskal Herriko Unibertsitatea","Doctor - RD 1393/2007 (1)","","","Publicado en B.O.E.","(TITULACIÓN EXTINGUIDA)"
