Academic Year,Degree,Ambit,Academic Level,University,UniversityId,Center,Adjudication Quota,Cut Off Grade
2023-2024,Estudios Clásicos,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,General (EvAU-PAU/ CFGS/ Acred. UNED/ Bach. ext. hom.),5.000
2023-2024,Estudios Ingleses,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Deportistas de alto nivel,5.000
2023-2024,Estudios Ingleses,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Estudios Ingleses,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 45 años,5.000
2023-2024,Estudios Ingleses,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,General (EvAU-PAU/ CFGS/ Acred. UNED/ Bach. ext. hom.),5.000
2023-2024,Estudios Ingleses,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 40 años,5.000
2023-2024,Estudios Ingleses,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Discapacidad,5.000
2023-2024,Estudios Ingleses,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 25 años,5.000
2023-2024,Filología Hispánica,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,General (EvAU-PAU/ CFGS/ Acred. UNED/ Bach. ext. hom.),5.000
2023-2024,Filología Hispánica,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 45 años,5.000
2023-2024,Filología Hispánica,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Discapacidad,5.000
2023-2024,Filología Hispánica,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 25 años,5.000
2023-2024,Filología Hispánica,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 40 años,5.000
2023-2024,Filología Hispánica,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Deportistas de alto nivel,5.000
2023-2024,Filología Hispánica,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Historia,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 45 años,5.000
2023-2024,Historia,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Discapacidad,5.000
2023-2024,Historia,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 40 años,5.000
2023-2024,Historia,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,General (EvAU-PAU/ CFGS/ Acred. UNED/ Bach. ext. hom.),5.000
2023-2024,Historia,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Deportistas de alto nivel,5.000
2023-2024,Historia,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 25 años,5.000
2023-2024,Historia,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Historia del Arte,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 45 años,5.000
2023-2024,Historia del Arte,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 25 años,5.000
2023-2024,Historia del Arte,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,General (EvAU-PAU/ CFGS/ Acred. UNED/ Bach. ext. hom.),5.000
2023-2024,Historia del Arte,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 40 años,5.000
2023-2024,Historia del Arte,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Deportistas de alto nivel,5.000
2023-2024,Historia del Arte,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),6.390
2023-2024,Historia del Arte,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Discapacidad,5.000
2023-2024,Lenguas Modernas,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Deportistas de alto nivel,5.000
2023-2024,Lenguas Modernas,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 45 años,5.000
2023-2024,Lenguas Modernas,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,General (EvAU-PAU/ CFGS/ Acred. UNED/ Bach. ext. hom.),5.000
2023-2024,Lenguas Modernas,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Discapacidad,5.000
2023-2024,Lenguas Modernas,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Lenguas Modernas,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 40 años,5.000
2023-2024,Lenguas Modernas,Artes y Humanidades,Grado,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Mayores de 25 años,5.000
2023-2024,Gestión del Patrimonio Cultural,Artes y Humanidades,Máster,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Investigación y Estudios Avanzados en Historia,Artes y Humanidades,Máster,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Estudios Avanzados en Historia del Arte,Artes y Humanidades,Máster,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Mundo Antiguo y Patrimonio Arqueológico,Artes y Humanidades,Máster,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Investigación en Filosofía,Artes y Humanidades,Máster,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Enseñanza del Español como Lengua Extranjera,Artes y Humanidades,Máster,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
2023-2024,Historia Contemporánea,Artes y Humanidades,Máster,Universidad de Zaragoza,24e63f7c3d8596b44655e9ad9bfdf5f5,Facultad de Filosofía y Letras,Titulados Universitarios o equivalentes (incluidos los estudios extranjeros homologados),5.000
