Code,Degree,DegreeId,UniversityId,Academic Level Id,AmbitId,Academic Year
2501625,Logopedia,0c941c22b94d09f31d98f14246904335,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
2501627,Maestro en Educación Infantil,529a408adefb5b36ef9833d24632503e,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
2501628,Maestro en Educación Primaria,7d504ec524b55e298a802ea0087fce76,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
2502040,Marina,90bd4d49ed55de2a48895800f4059b65,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2501060,Matemáticas,62b242f4d10b0be666af531698b4f910,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
2502033,Medicina,e269c179ca93813d527450508906a43d,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
2502041,Náutica y Transporte Marítimo,25651fd8fee58e20d717f8f9eb524460,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
2502034,Odontología,b2d9dc48b33fdbc66f85f1169e17745f,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
2501631,Pedagogía,53ea92c0a139fed6c812fcac2bb95e59,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
2501626,Psicología,e8866d10e4d77a581aa55ae31cc71df9,094757ed9d7e9bb8929a087e18874962,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe,2023-2024
