Code,Degree,DegreeId,FacultyId,UniversityId,Academic Level Id,AmbitId,Academic Year
4313706,Ingeniería de Telecomunicación,3c51d08bafd044d0da8581d53435f13e,3c51d08bafd044d0da8581d53435f13e,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4314767,Ingeniería Industrial,d55a2744fdc84f2064a32f26da865002,d55a2744fdc84f2064a32f26da865002,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4313941,Marketing y Comercio Internacional,d3d6772f96992a2cb6309332fb284d34,d3d6772f96992a2cb6309332fb284d34,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
4313927,"Patrimonio Histórico, Cultural y Natural",911aa7bfb4afb461aef62ffa0e7966d2,911aa7bfb4afb461aef62ffa0e7966d2,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
4316038,Prevención de Riesgos Laborales,99258f19e16b5766a612a72f0e6360f1,99258f19e16b5766a612a72f0e6360f1,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
4313928,Relaciones Hispano Africanas,09c141d960bc1f2212b15bedf08eb272,09c141d960bc1f2212b15bedf08eb272,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
4312658,Sanidad Animal y Seguridad Alimentaria,4f6e70da0fd83ad51a126c91111ae69e,4f6e70da0fd83ad51a126c91111ae69e,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,,2023-2024
4310173,Sistemas Inteligentes y Aplicaciones Numéricas en la Ingeniería,a6472d3a0212514f093022cdc7a69881,a6472d3a0212514f093022cdc7a69881,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025,2023-2024
4317253,Tecnologías y Procesos Industriales Avanzados,c96ce8acfed4ccbd2369a8da4f6d3059,c96ce8acfed4ccbd2369a8da4f6d3059,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd,2023-2024
4313743,Traducción Profesional y Mediación Intercultural,99eb4faa70869419112d05fc22c02dc0,99eb4faa70869419112d05fc22c02dc0,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8,2023-2024
3500700,"Turismo: Digitalización, Innovación e Inteligencia",9a36809818c234a5fcef842fdc982f62,9a36809818c234a5fcef842fdc982f62,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
3500494,Turismo y Desarrollo Sostenible / Master in Tourism and Sustainable Development,e2e96f7f6ceeba36ec850aa4928a4a9d,e2e96f7f6ceeba36ec850aa4928a4a9d,17a1b9e0f1c1e0719761a30d50700965,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e,2023-2024
