Date,Year,Month,Day,DOW,Public holiday,Adelaide,Brisbane,Canberra,Darwin,Hobart,Melbourne,Perth,Sydney,Number,National_holiday
4/15/2006,2006,4,15,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/17/2006,2006,4,17,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2006,2006,4,25,Tuesday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
5/1/2006,2006,5,1,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
6/5/2006,2006,6,5,Monday,Foundation Day,,,,,,,1,,1,FALSE
6/12/2006,2006,6,12,Monday,Queen's Birthday,1,1,1,1,1,1,,1,7,FALSE
8/7/2006,2006,8,7,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/16/2006,2006,8,16,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
10/2/2006,2006,10,2,Monday,Labour Day & Queen's Birthday,1,,1,,,,1,1,4,FALSE
10/26/2006,2006,10,26,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/7/2006,2006,11,7,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2006,2006,12,25,Monday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE
12/26/2006,2006,12,26,Tuesday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE
1/1/2007,2007,1,1,Monday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE
1/26/2007,2007,1,26,Friday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/12/2007,2007,2,12,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/5/2007,2007,3,5,Monday,Labour Day,,,,,,,1,,1,FALSE
3/12/2007,2007,3,12,Monday,"Adelaide Cup Day, Eight Hours Day & Labour Day",1,,,,1,1,,,3,FALSE
3/19/2007,2007,3,19,Monday,Canberra Day,,,1,,,,,,1,FALSE
4/6/2007,2007,4,6,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
4/7/2007,2007,4,7,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/9/2007,2007,4,9,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2007,2007,4,25,Wednesday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
5/7/2007,2007,5,7,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
6/4/2007,2007,6,4,Monday,Foundation Day,,,,,,,1,,1,FALSE
6/11/2007,2007,6,11,Monday,Queen's Birthday,1,1,1,1,1,1,,1,7,FALSE
8/6/2007,2007,8,6,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/15/2007,2007,8,15,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
9/7/2007,2007,9,7,Friday,APEC Australia 2007,,,,,,,,1,1,FALSE
10/1/2007,2007,10,1,Monday,Labour Day & Queen's Birthday,1,,1,,,,1,1,4,FALSE
10/25/2007,2007,10,25,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/6/2007,2007,11,6,Tuesday,Melbourne Cup & Family and Community Day,,,1,,,1,,,2,FALSE
12/25/2007,2007,12,25,Tuesday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE
12/26/2007,2007,12,26,Wednesday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE
1/1/2008,2008,1,1,Tuesday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE
1/28/2008,2008,1,28,Monday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/11/2008,2008,2,11,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/3/2008,2008,3,3,Monday,Labour Day,,,,,,,1,,1,FALSE
3/10/2008,2008,3,10,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
3/21/2008,2008,3,21,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
3/22/2008,2008,3,22,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
3/24/2008,2008,3,24,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2008,2008,4,25,Friday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
5/5/2008,2008,5,5,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
6/2/2008,2008,6,2,Monday,Foundation Day,,,,,,,1,,1,FALSE
6/9/2008,2008,6,9,Monday,Queen's Birthday,1,1,1,1,1,1,,1,7,FALSE
8/4/2008,2008,8,4,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/13/2008,2008,8,13,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
9/29/2008,2008,9,29,Monday,Queen's Birthday,,,,,,,1,,1,FALSE
10/6/2008,2008,10,6,Monday,Labour Day,1,,1,,,,,1,3,FALSE
10/23/2008,2008,10,23,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/4/2008,2008,11,4,Tuesday,Melbourne Cup & Family and Community Day,,,1,,,1,,,2,FALSE
12/25/2008,2008,12,25,Thursday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE
12/26/2008,2008,12,26,Friday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE
1/1/2009,2009,1,1,Thursday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE
1/26/2009,2009,1,26,Monday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/9/2009,2009,2,9,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/2/2009,2009,3,2,Monday,Labour Day,,,,,,,1,,1,FALSE
3/9/2009,2009,3,9,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
4/10/2009,2009,4,10,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
4/11/2009,2009,4,11,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/13/2009,2009,4,13,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2009,2009,4,25,Saturday,ANZAC Day,1,1,,1,1,1,1,1,7,FALSE
4/27/2009,2009,4,27,Monday,ANZAC Day Observance,,,1,,,,1,,2,FALSE
5/4/2009,2009,5,4,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
6/1/2009,2009,6,1,Monday,Foundation Day,,,,,,,1,,1,FALSE
6/8/2009,2009,6,8,Monday,Queen's Birthday,1,1,1,1,1,1,,1,7,FALSE
8/3/2009,2009,8,3,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/12/2009,2009,8,12,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
9/28/2009,2009,9,28,Monday,Queen's Birthday,,,,,,,1,,1,FALSE
10/5/2009,2009,10,5,Monday,Labour Day,1,,1,,,,,1,3,FALSE
10/22/2009,2009,10,22,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/3/2009,2009,11,3,Tuesday,Melbourne Cup & Family and Community Day,,,1,,,1,,,2,FALSE
12/25/2009,2009,12,25,Friday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE
12/26/2009,2009,12,26,Saturday,Boxing Day & Proclamation Day,,,,,,1,1,,2,FALSE
12/28/2009,2009,12,28,Monday,Boxing Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/1/2010,2010,1,1,Friday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE
1/26/2010,2010,1,26,Tuesday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/8/2010,2010,2,8,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/1/2010,2010,3,1,Monday,Labour Day,,,,,,,1,,1,FALSE
3/8/2010,2010,3,8,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
4/2/2010,2010,4,2,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
4/3/2010,2010,4,3,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/5/2010,2010,4,5,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2010,2010,4,25,Sunday,ANZAC Day,,,,,1,,1,,2,FALSE
4/26/2010,2010,4,26,Monday,ANZAC Day Observance,1,1,1,1,,1,1,1,7,FALSE
5/3/2010,2010,5,3,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
6/7/2010,2010,6,7,Monday,Foundation Day,,,,,,,1,,1,FALSE
6/14/2010,2010,6,14,Monday,Queen's Birthday,1,1,1,1,1,1,,1,7,FALSE
8/2/2010,2010,8,2,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/11/2010,2010,8,11,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
9/27/2010,2010,9,27,Monday,Family and Community Day & Queen's Birthday,,,1,,,,1,,2,FALSE
10/4/2010,2010,10,4,Monday,Labour Day,1,,1,,,,,1,3,FALSE
10/21/2010,2010,10,21,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/2/2010,2010,11,2,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2010,2010,12,25,Saturday,Christmas Day,,,,,,,1,1,2,FALSE
12/26/2010,2010,12,26,Sunday,Boxing Day,,,,,,1,1,,2,FALSE
12/27/2010,2010,12,27,Monday,Christmas Day Observance,1,1,1,1,1,1,1,1,8,TRUE
12/28/2010,2010,12,28,Tuesday,Boxing Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/1/2011,2011,1,1,Saturday,New Year's Day,,1,1,1,,1,1,1,6,FALSE
1/3/2011,2011,1,3,Monday,New Year's Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/26/2011,2011,1,26,Wednesday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/14/2011,2011,2,14,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/7/2011,2011,3,7,Monday,Labour Day,,,,,,,1,,1,FALSE
3/14/2011,2011,3,14,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
4/22/2011,2011,4,22,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
4/23/2011,2011,4,23,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/24/2011,2011,4,24,Sunday,Easter Sunday,,,,,,,,1,1,FALSE
4/25/2011,2011,4,25,Monday,Easter Monday & ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
4/26/2011,2011,4,26,Tuesday,Additional public holiday,1,1,1,1,,1,1,1,7,FALSE
5/2/2011,2011,5,2,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
6/6/2011,2011,6,6,Monday,Foundation Day,,,,,,,1,,1,FALSE
6/13/2011,2011,6,13,Monday,Queen's Birthday,1,1,1,1,1,1,,1,7,FALSE
8/1/2011,2011,8,1,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/17/2011,2011,8,17,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
10/3/2011,2011,10,3,Monday,Labour Day,1,,1,,,,,1,3,FALSE
10/10/2011,2011,10,10,Monday,Family and Community Day,,,1,,,,,,1,FALSE
10/20/2011,2011,10,20,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
10/28/2011,2011,10,28,Friday,Queen's Birthday,,,,,,,1,,1,FALSE
11/1/2011,2011,11,1,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2011,2011,12,25,Sunday,Christmas Day,,1,1,,,,1,,3,FALSE
12/26/2011,2011,12,26,Monday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE
12/27/2011,2011,12,27,Tuesday,Christmas Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/1/2012,2012,1,1,Sunday,New Year's Day,,1,1,1,,1,1,1,6,FALSE
1/2/2012,2012,1,2,Monday,New Year's Day Observance,1,1,1,1,1,1,1,1,8,TRUE
1/26/2012,2012,1,26,Thursday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/13/2012,2012,2,13,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/5/2012,2012,3,5,Monday,Labour Day,,,,,,,1,,1,FALSE
3/12/2012,2012,3,12,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
4/6/2012,2012,4,6,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
4/7/2012,2012,4,7,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/8/2012,2012,4,8,Sunday,Easter Sunday,,,,,,,,1,1,FALSE
4/9/2012,2012,4,9,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2012,2012,4,25,Wednesday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
5/7/2012,2012,5,7,Monday,Labour Day & May Day,,1,,1,,,,,2,FALSE
6/4/2012,2012,6,4,Monday,Western Australia Day,,,,,,,1,,1,FALSE
6/11/2012,2012,6,11,Monday,Queen's Birthday / Queen's Diamond Jubilee,1,1,1,1,1,1,,1,7,FALSE
8/6/2012,2012,8,6,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/15/2012,2012,8,15,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
10/1/2012,2012,10,1,Monday,Labour Day & Queen's Birthday,1,1,1,,,,1,1,5,FALSE
10/8/2012,2012,10,8,Monday,Family and Community Day,,,1,,,,,,1,FALSE
10/25/2012,2012,10,25,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/6/2012,2012,11,6,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2012,2012,12,25,Tuesday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE
12/26/2012,2012,12,26,Wednesday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE
1/1/2013,2013,1,1,Tuesday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE
1/28/2013,2013,1,28,Monday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/11/2013,2013,2,11,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/4/2013,2013,3,4,Monday,Labour Day,,,,,,,1,,1,FALSE
3/11/2013,2013,3,11,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
3/29/2013,2013,3,29,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
3/30/2013,2013,3,30,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
3/31/2013,2013,3,31,Sunday,Easter Sunday,,,,,,,,1,1,FALSE
4/1/2013,2013,4,1,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
4/25/2013,2013,4,25,Thursday,ANZAC Day,1,1,1,1,1,1,1,1,8,TRUE
5/6/2013,2013,5,6,Monday,May Day,,,,1,,,,,1,FALSE
6/8/2013,2013,6,8,Saturday,Western Australia Day,,,,,,,1,,1,FALSE
6/10/2013,2013,6,10,Monday,Queen's Birthday,1,1,1,1,1,1,,1,7,FALSE
8/5/2013,2013,8,5,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/14/2013,2013,8,14,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
9/30/2013,2013,9,30,Monday,Queen's Birthday & Famiy and Community Day,,,1,,,,1,,2,FALSE
10/7/2013,2013,10,7,Monday,Labour Day,1,1,1,,,,,1,4,FALSE
10/24/2013,2013,10,24,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/5/2013,2013,11,5,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2013,2013,12,25,Wednesday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE
12/26/2013,2013,12,26,Thursday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE
1/1/2014,2014,1,1,Wednesday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE
1/27/2014,2014,1,27,Monday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/10/2014,2014,2,10,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/3/2014,2014,3,3,Monday,Labour Day,,,,,,,1,,1,FALSE
3/10/2014,2014,3,10,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
4/18/2014,2014,4,18,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
