Date,Year,Month,Day,DOW,Public holiday,Adelaide,Brisbane,Canberra,Darwin,Hobart,Melbourne,Perth,Sydney,Number,National_holiday
6/11/2018,2018,6,11,Monday,Queen's Birthday,1,,1,1,1,1,,1,6,FALSE
8/6/2018,2018,8,6,Monday,Picnic Day,,,,1,,,,,1,FALSE
8/15/2018,2018,8,15,Wednesday,Royal Queensland Show,,1,,,,,,,1,FALSE
9/24/2018,2018,9,24,Monday,Queen's Birthday,,,,,,,1,,1,FALSE
9/28/2018,2018,9,28,Friday,AFL Grand Final Eve,,,,,,1,,,1,FALSE
10/1/2018,2018,10,1,Monday,Queen's Birthday & Labour Day,1,1,1,,,,,1,4,FALSE
10/25/2018,2018,10,25,Thursday,Royal Hobart Show,,,,,1,,,,1,FALSE
11/6/2018,2018,11,6,Tuesday,Melbourne Cup,,,,,,1,,,1,FALSE
12/25/2018,2018,12,25,Tuesday,Christmas Day,1,1,1,1,1,1,1,1,8,TRUE
12/26/2018,2018,12,26,Wednesday,Boxing Day & Proclamation Day,1,1,1,1,1,1,1,1,8,TRUE
1/1/2019,2019,1,1,Tuesday,New Year's Day,1,1,1,1,1,1,1,1,8,TRUE
1/26/2019,2019,1,26,Saturday,Australia Day,1,1,1,1,1,1,1,1,8,TRUE
2/11/2019,2019,2,11,Monday,Royal Hobart Regatta,,,,,1,,,,1,FALSE
3/4/2019,2019,3,4,Monday,Labour Day,,,,,,,1,,1,FALSE
3/11/2019,2019,3,11,Monday,"Adelaide Cup, Canberra Day, Eight Hours Day & Labour Day",1,,1,,1,1,,,4,FALSE
4/19/2019,2019,4,19,Friday,Good Friday,1,1,1,1,1,1,1,1,8,TRUE
4/20/2019,2019,4,20,Saturday,Easter Saturday,1,1,1,1,,1,,1,6,FALSE
4/21/2019,2019,4,21,Sunday,Easter Sunday,,1,1,,,1,,1,4,FALSE
4/22/2019,2019,4,22,Monday,Easter Monday,1,1,1,1,1,1,1,1,8,TRUE
