Location_ID;Sensor_Description;Sensor_Name;Installation_Date;Note;Location_Type;Status;Direction_1;Direction_2;Latitude;Longitude;Street;House_Number;Postcode;City;Country;Address
20;Chinatown-Lt Bourke St (South);LtB170_T;06/09/2013;Pushbox Upgrade, 20/07/2023;Outdoor;A;East;West;-3.781.172.914;1.449.682.466;Coverlid Place;27;3000;Melbourne;Australia;27 Coverlid Place, Melbourne VIC 3000, Australia
27;QV Market-Peel St;Vic_T;16/08/2013;;Outdoor;A;East;West;-3.780.606.888;14.495.644.692;Victoria Street;155;3000;Melbourne;Australia;155 Victoria Street, Melbourne VIC 3000, Australia
28;The Arts Centre;VAC_T;23/08/2013;;Outdoor;A;North;South;-3.782.129.925;14.496.879.309;St Kilda Road;88;3006;Southbank;Australia;88 St Kilda Road, Southbank VIC 3006, Australia
41;Flinders La-Swanston St (West);Swa31;29/06/2017;;Outdoor;A;North;South;-3.781.668.634;14.496.689.733;Swanston Street;35;3000;Melbourne;Australia;35 Swanston Street, Melbourne VIC 3000, Australia
43;Monash Rd-Swanston St (West);UM2_T;15/04/2015;;Outdoor;A;North;South;-3.779.844.526;14.496.411.782;Swanston Street;793;3052;Parkville;Australia;793 Swanston Street, Parkville VIC 3052, Australia
44;Tin Alley-Swanston St (West);UM3_T;15/04/2015;Pushbox Upgrade, 30/06/2023;Outdoor;A;North;South;-3.779.698.741;14.496.441.306;Swanston Street;823;3052;Parkville;Australia;823 Swanston Street, Parkville VIC 3052, Australia
46;Pelham St (South);Pel147_T;10/07/2017;;Outdoor;A;East;West;-3.780.240.719;1.449.615.673;Pelham Street;147-155;3053;Melbourne;Australia;155 Pelham St (Building 264), 147-155 Pelham Street, Carlton VIC 3053, Australia
47;Melbourne Central-Elizabeth St (East);Eli250_T;24/08/2017;Pushbox Upgrade, 25/07/2023. Move to 250 Elizabeth Street from adjacent St. Francis Church at 266 Elizabeth.;Outdoor;A;North;South;-3.781.258.467;1.449.625.775;Elizabeth Street;250;3000;Melbourne;Australia;250 Elizabeth Street, Melbourne VIC 3000, Australia
48;QVM-Queen St (East);QVMQ_T;02/10/2017;Pushbox Upgrade, 03/07/2023;Outdoor;A;East;West;-3.780.631.581;14.495.866.697;Victoria Street;75;3000;Melbourne;Australia;75 Victoria Street, Melbourne VIC 3000, Australia
50;Faraday St-Lygon St (West);Lyg309_T;30/11/2017;Pushbox Upgrade, 25/07/2023;Outdoor;A;North;South;-3.779.808.192;14.496.721.013;Lygon Street;309;3053;Melbourne;Australia;Readings, 309 Lygon Street, Carlton VIC 3053, Australia
51;QVM-Franklin St (North);Fra118_T;30/11/2017;Pushbox Upgrade, 20/07/2023;Outdoor;A;East;West;-3.780.841.815;14.495.906.316;Franklin Street;118;3000;Melbourne;Australia;118 Franklin Street, Melbourne VIC 3000, Australia
52;Elizabeth St-Lonsdale St (South);Eli263_T;31/07/2017;Pushbox Upgrade, 25/07/2023;Outdoor;A;East;West;-3.781.252.157;1.449.619.401;Lonsdale Street;353;3000;Melbourne;Australia;353 Lonsdale Street, Melbourne VIC 3000, Australia
53;Collins Street (North);Col254_T;23/09/2015;;Outdoor;A;East;West;-3.781.564.191;144.965.499;Collins Street;250;3000;Melbourne;Australia;250 Collins Street, Melbourne VIC 3000, Australia
