Address,Address-Wikidata,Address-Wiki-URI,DockBikes,FreeBases,Name,Name-Wikidata,Name-URI-Wikidata,number,TotalBases,POINT_X,POINT_Y
Calle Estación de Canfrac,Calle Estación de Canfrac,,13,11,"Puerto Canfranc, 18","Puerto Canfranc, 18",,431,24,"-3,6634","40,3969"
Calle Carlos Martín Álvarez,Calle Carlos Martín Álvarez,,9,14,Carlos M. Alvarez - Javier de Miguel,Carlos M. Alvarez - Javier de Miguel,,429,23,"-3,6635","40,3895"
Calle del Sorbe,Calle del Sorbe,,9,15,Sorbe - Baleares,Sorbe - Baleares,,357,24,"-3,713209","40,38987"
Calle Teresa López Valcarcel (esquina calle Teniente Coronel Noreña),Calle Teresa López Valcarcel (esquina calle Teniente Coronel Noreña),,9,15,Teresa L. Valcárcel - Tte. Cnel. Noreña,Teresa L. Valcárcel - Tte. Cnel. Noreña,,270,24,"-3,693288","40,388629"
Calle Arturo Soria (esquina con calle Jazmín),Calle Arturo Soria (esquina con calle Jazmín),,10,13,Arturo Soria - San Luis,Arturo Soria - San Luis,,493,23,"-3,668417","40,476367"
Calle Villalobos,Calle Villalobos,,14,10,"Villalobos, 28","Villalobos, 28",,433,24,"-3,65076","40,381617"
Calle Alan Turing,Calle Alan Turing,,17,6,Campus Sur UPM,Campus Sur UPM,,436,23,"-3,627137","40,390167"
Calle Charleroi,Calle Charleroi,,10,14,Charleroi - Cocherón de la Villa,Charleroi - Cocherón de la Villa,,434,24,"-3,632194","40,381917"
Calle Albarracin,Calle Albarracin,,23,1,Albarracín - Julián Camarillo,Albarracín - Julián Camarillo,,506,24,"-3,632516","40,433973"
Calle Castillo de Ucles,Calle Castillo de Ucles,,16,8,"Castillo de Uclés, 37","Castillo de Uclés, 37",,505,24,"-3,623066","40,431525"
Calle San Claudio,Calle San Claudio,,11,13,San Claudio,San Claudio,,435,24,"-3,63954","40,389029"
Paseo de la Dirección,Paseo de la Dirección,,1,23,Ps. Dirección B - Pque A. Rguez Sahagún,Ps. Dirección B - Pque A. Rguez Sahagún,,302,24,"-3,703955","40,470245"
Calle Casalarreina,Calle Casalarreina,,11,13,"Casalarreina, 18","Casalarreina, 18",,463,24,"-3,612319","40,409391"
Avenida de Daroca 321,Avenida de Daroca 321,,13,11,Univ. Rey Juan Carlos - Campus Madrid,Univ. Rey Juan Carlos - Campus Madrid,,464,24,"-3,612834","40,40634"
Paseo de los Gigantes y Cabezudos,Paseo de los Gigantes y Cabezudos,,13,11,Metro Ciudad de los Ángeles,Metro Ciudad de los Ángeles,,400,24,"-3,693997","40,360647"
Calle San Restituto,"Calle de San Restituto, Madrid",https://www.wikidata.org/entity/Q28938015,9,15,Metro Valdezarza,Metro Valdezarza,,307,24,"-3,71693","40,46588"
Paseo de la Dirección,Paseo de la Dirección,,14,10,Ps. Dirección A - Pque A. Rguez Sahagún,Ps. Dirección A - Pque A. Rguez Sahagún,,303,24,"-3,708085","40,467789"
Avenida El Ferrol,Avenida El Ferrol,,4,20,"El Ferrol, 18","El Ferrol, 18",,576,24,"-3,705105","40,474313"
Calle Aurora boreal,Calle Aurora boreal,,12,12,Monforte de Lemos - Plaza de Mondariz,Monforte de Lemos - Plaza de Mondariz,,577,24,"-3,705669","40,479"
Calle Ofelia Nieto,"Calle de Ofelia Nieto, Madrid",https://www.wikidata.org/entity/Q26832655,0,24,Ofelia Nieto - Villaamil,Ofelia Nieto - Villaamil,,309,24,"-3,708734","40,462051"
Calle María Auxiliadora,Calle María Auxiliadora,,2,22,María Auxiliadora - Francos Rodríguez,María Auxiliadora - Francos Rodríguez,,308,24,"-3,713461","40,457729"
Avenida de Guadalajara,Avenida de Guadalajara,,12,12,Metro Avenida de Guadalajara,Metro Avenida de Guadalajara,,510,24,"-3,613462","40,42219"
Calle Aquitania,Calle Aquitania,,3,24,Aquitania 31,Aquitania 31,,511,27,"-3,617267","40,419123"
Calle de los Aparejadores,Calle de los Aparejadores,,9,15,Semilla - Aparejadores,Semilla - Aparejadores,,512,24,"-3,61537","40,426679"
Avenida de Niza,"Avenida de Niza, Madrid",https://www.wikidata.org/entity/Q28972102,10,17,Centro Deportivo Mpal. Pepu Hernández,Centro Deportivo Mpal. Pepu Hernández,,513,27,"-3,606454","40,427121"
