FID,OBJECTID,SHAPE,ADDRESS,BEZIRK,CITY,COUNTRYCODE,DESIGNATION,DIRECTPAYMENT,EVSEID,OPERATORNAME
ELADESTELLEOGD.1719708,1719708,POINT (16.422235006072604 48.1691370661988),"11., Simmeringer Hauptstraße 171",11,Wien,AT,öff. Wipark - Simmeringer Platz Station 2,0,AT*VIE*E5076,Wien Energ
ELADESTELLEOGD.1719709,1719709,POINT (16.438124004945948 48.17580906652546),"11., Haidestraße 22",11,Wien,AT,LGV Frischgemüse Haidestraße,0,AT*VIE*E5112,Wien Energ
ELADESTELLEOGD.1719710,1719710,POINT (16.46138700602928 48.17353706631867),"11., 11.Haidequerstraße 6",11,Wien,AT,Wien Energie Werk Simmeringer Haide - Station 1,0,AT*VIE*E5197,Wien Energ
ELADESTELLEOGD.1719711,1719711,POINT (16.461414005147756 48.17355506571796),"11., 11.Haidequerstraße 6",11,Wien,AT,Wien Energie Werk Simmeringer Haide - Station 2,0,AT*VIE*E5198,Wien Energ
ELADESTELLEOGD.1719730,1719730,POINT (16.417796005432443 48.17987606627537),"11., Trinkhausstraße 4",11,Wien,AT,Trinkhausstraße,0,AT*VNA*E1110570018,Wien Energ
ELADESTELLEOGD.1719731,1719731,POINT (16.41782900611164 48.167748065998936),"11., Albin-Hirsch-Platz 2/1",11,Wien,AT,Albin-Hirsch-Platz,0,AT*VNA*E1110570019,Wien Energ
ELADESTELLEOGD.1719732,1719732,POINT (16.463456005842016 48.160014066160734),"11., Kaiser-Ebersdorfer Straße 286",11,Wien,AT,Kaiser-Ebersdorfer-Straße 286,0,AT*VNA*E1110570020,Wien Energ
ELADESTELLEOGD.1719733,1719733,POINT (16.321911005026173 48.17881306593183),"12., Pohlgasse  37",12,Wien,AT,Pohlgasse 37,0,AT*VIE*E1120580001,Wien Energ
ELADESTELLEOGD.1719734,1719734,POINT (16.32950000489524 48.158512066547004),"12., Lichtensterngasse  4",12,Wien,AT,Lichtensterngasse 4,0,AT*VIE*E1120580002,Wien Energ
ELADESTELLEOGD.1719735,1719735,POINT (16.3172400048657 48.17386306652806),"12., Hohenfelsplatz  1",12,Wien,AT,Hohenfelsplatz 1,0,AT*VIE*E1120580003,Wien Energ
