stationId,addressType,addressName,addressNumber,latitude,longitude,altitude,districtId,districtName,neighborhoodId,neighborhoodName,postCode,capacity
d39f0332,,TRAV. DE GRÀCIA,92,41.39823,2.15310,56,5,Sarrià-sant Gervasi,26,Sant Gervasi - Galvany,8006,20
6f030361,CARRER,INDÚSTRIA,10,41.40220,2.16490,45,6,Gràcia,32,El Camp D'en Grassot I Gràcia Nova,8037,21
80374b39,CARRER,LONDRES,53,41.39126,2.14763,43,2,Eixample,8,L'antiga Esquerra De L'eixample,8036,24
abf7ceaa,AVINGUDA,ROMA,136,41.38525,2.15508,25,2,Eixample,8,L'antiga Esquerra De L'eixample,8011,17
968b111d,CARRER,ARAGÓ,147,41.38475,2.15467,21,2,Eixample,9,La Nova Esquerra De L'eixample,8015,19
c83ccb58,CARRER,FLORIDABLANCA,49,41.37767,2.15723,13,2,Eixample,10,Sant Antoni,8015,20
7b24c5b1,,RONDA DE SANT PAU,51,41.37731,2.16467,11,2,Eixample,10,Sant Antoni,8015,34
96fd9a39,PLAÇA,JEAN GENET,1,41.37673,2.17400,5,1,Ciutat Vella,1,El Raval,8001,20
d7ea0124,AVINGUDA,MARQUÉS DE L'ARGENTERA,3,41.38359,2.18417,4,1,Ciutat Vella,4,"Sant Pere, Santa Caterina I La Ribera",8003,21
20f3504d,CARRER,DEL DR. AIGUADER,72,41.38383,2.19147,5,1,Ciutat Vella,3,La Barceloneta,8003,35
a793d735,CARRER,ROSA SENSAT,12,41.39060,2.19723,5,10,Sant Martí,67,La Vila Olímpica Del Poblenou,8005,21
d515c6f6,CARRER,PUJADES,3,41.39212,2.18749,6,10,Sant Martí,66,El Parc I La Llacuna Del Poblenou,8018,27
e29c1879,CARRER,SARDENYA,178,41.39671,2.18250,12,2,Eixample,5,El Fort Pienc,8013,39
ff8eb3d7,CARRER,LEPANT,278,41.40470,2.17651,28,2,Eixample,6,La Sagrada Família,8013,21
d6b079b6,CARRER,CASTILLEJOS,258,41.40645,2.17853,28,2,Eixample,6,La Sagrada Família,8013,21
f16dda33,CARRER,NÀPOLS,344,41.40544,2.16631,54,6,Gràcia,32,El Camp D'en Grassot I Gràcia Nova,8025,33
7864a737,CARRER,PROVENÇA,317,41.39881,2.16673,34,2,Eixample,7,La Dreta De L'eixample,8037,21
4c7e2f31,CARRER,NOVA  BOCANA,,41.37024,2.18781,3,1,Ciutat Vella,3,La Barceloneta,8039,30
12be2c02,PASSEIG,MARITIM,31,41.38347,2.19473,7,1,Ciutat Vella,3,La Barceloneta,8003,29
073fc27d,PASSEIG,DE COLOM,,41.38062,2.18228,4,1,Ciutat Vella,2,El Barri Gòtic,8002,23
d9baa38b,CARRER,ARAGÓ,659,41.41206,2.19075,16,10,Sant Martí,65,El Clot,8026,27
e3c0b638,RAMBLA,DE GUIPÚSCOA,43,41.41584,2.19597,10,10,Sant Martí,72,Sant Martí De Provençals,8020,43
3936acf3,CARRER,MANSO,46,41.37704,2.16113,13,2,Eixample,10,Sant Antoni,8015,23
6f91a12c,RAMBLA,DE GUIPÚSCOA,103,41.42001,2.20166,8,10,Sant Martí,73,La Verneda I La Pau,8020,24
9c60c4dd,RAMBLA,DE GUIPÚSCOA,158,41.42279,2.20603,11,10,Sant Martí,73,La Verneda I La Pau,8020,29
455f40b2,,VALENTÍ ALMIRALL,,41.40847,2.19204,6,10,Sant Martí,65,El Clot,8018,27
f802dc20,GRAN VIA,DE LES CORTS CATALANES,902,41.40750,2.19301,6,10,Sant Martí,71,Provençals Del Poblenou,8018,16
f1c9ed81,CARRER,BAC DE RODA,157,41.41130,2.19872,6,10,Sant Martí,71,Provençals Del Poblenou,8018,21
0895d88e,GRAN VIA,DE LES CORTS CATALANES,981,41.41204,2.19726,8,10,Sant Martí,72,Sant Martí De Provençals,8018,21
b73ebf04,GRAN VIA,DE LES CORTS CATALANES,1062,41.41392,2.20179,8,10,Sant Martí,71,Provençals Del Poblenou,8020,31
2f8cf84f,GRAN VIA,DE LES CORTS CATALANES,1041,41.41458,2.20081,7,10,Sant Martí,72,Sant Martí De Provençals,8020,25
c2e6b9a2,GRAN VIA,DE LES CORTS CATALANES,1118,41.41679,2.20583,7,10,Sant Martí,71,Provençals Del Poblenou,8020,21
9cf2763b,GRAN VIA,DE LES CORTS CATALANES,1131,41.41839,2.20581,7,10,Sant Martí,73,La Verneda I La Pau,8020,35
e595466b,CARRER,VILADOMAT,122,41.38087,2.15599,19,2,Eixample,9,La Nova Esquerra De L'eixample,8015,27
30e1dfa7,CARRER,BILBAO,174,41.40902,2.19541,7,10,Sant Martí,71,Provençals Del Poblenou,8018,31
