station_id,address,lat,lon,altitude,post_code,capacity
116,"C/ DEL DR. AIGUADER, 72 / PG. SALVAT PAPASSEIT",41.3838369,2.1914756,5,8003,35
117,"C/ ROSA SENSAT, 12",41.3906051,2.1972309,5,8005,21
118,"C/ PUJADES,  3",41.39212,2.1874966,6,8018,27
119,"C/ SARDENYA,  178",41.3967169,2.1825085,12,8013,39
120,"C/ LEPANT,  278",41.4047056,2.1765126,28,8013,21
121,"C/ CASTILLEJOS, 258",41.4064529,2.1785364,28,8013,21
122,"C/ NÀPOLS, 344",41.4054458,2.1663172,54,8025,33
123,"C/ PROVENÇA, 317",41.3988184485363,2.16673522491668,34,8037,21
124,C/ NOVA  BOCANA,41.3702483,2.1878126,3,8039,30
125,"PG. MARíTIM, 31 B (ANNEXA A LA  12)",41.3834753,2.194735,7,8003,29
126,PG. DE COLOM /VIA LAIETANA,41.380628,2.1822815,4,8002,23
127,"C/ ARAGÓ, 659 /NAVAS DE TOLOSA",41.4120681,2.1907524,16,8026,27
128,"RAMBLA DE GUIPÚSCOA, 43/FLUVIA",41.4158412,2.1959771,10,8020,43
129,"C/ MANSO, 46",41.377046,2.16113608,13,8015,23
130,"RAMBLA DE GUIPÚSCOA, 103 /CANTÀBRIA",41.4200135,2.2016699,8,8020,24
131,"RAMBLA  DE GUIPÚSCOA, 158/ CA N'OLIVA",41.4227912,2.2060317,11,8020,29
132,PL.VALENTÍ ALMIRALL,41.4084796,2.192042,6,8018,27
133,"GRAN VIA DE LES CORTS CATALANES, 902",41.4075013,2.1930174,6,8018,16
134,"C/ BAC DE RODA, 157",41.4113024,2.1987258,6,8018,21
135,"GRAN VIA DE LES CORTS CATALANES,  981",41.4120452,2.1972673,8,8018,21
136,"GRAN VIA DE LES CORTS CATALANES,  1062",41.4139298,2.2017955,8,8020,31
137,"GRAN VIA DE LES CORTS CATALANES, 1041",41.4145805,2.2008139,7,8020,25
138,"GRAN VIA DE LES CORTS CATALANES, 1118",41.4167933,2.2058345,7,8020,21
139,"GRAN VIA DE LES CORTS CATALANES,  1131",41.4183999,2.2058133,7,8020,35
140,"C/ VILADOMAT, 122",41.3808772,2.1559939,19,8015,27
141,"C/ BILBAO, 174",41.4090202,2.1954152,7,8018,31
142,"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",41.4003793,2.1924144,4,8018,52
143,"C/ SANCHO DE ÁVILA, 170 / LLACUNA",41.4027907,2.1956161,4,8018,28
144,"C/ CASTELLA,  28 / DIAGONAL",41.4056269,2.1977119,4,8018,27
145,"C/ PERE IV,  301 / FLUVIÀ",41.4093405,2.2024461,4,8020,27
146,"C/ PERE IV, 488",41.4148983,2.207186,4,8019,24
147,"RAMBLA PRIM, 79",41.416043,2.2124993,5,8019,33
148,"RONDA SANT PAU, 79",41.3783467,2.1633139,12,8015,27
149,"C/ PUJADES, 57B",41.3958685,2.192952,4,8019,26
150,"C/ ESPRONCEDA, 124",41.4065912,2.203028,4,8005,27
151,"C/ PALLARS, 182",41.4003471,2.1969105,3,8005,31
152,"C/ PUJADES, 121",41.3993329,2.1974184,3,8005,39
153,"C/ PUJADES, 173/RBLA POBLE NOU",41.4018686,2.20077,3,8005,23
154,"C/ PUJADES, 191",41.4026275,2.2017694,2,8005,32
155,"C/ PUJADES, 311/ FLUVIÀ",41.4070139,2.2074469,4,8019,32
156,"C/ SELVA DE MAR, 46",41.4091355,2.2088179,4,8019,27
