barId,barName,barType,addressType,addressName,addressNumber,neighborhoodId,neighborhoodName,districtId,districtName,postCode,latitude,longitude
﻿99400188606,Bar Musical Jazzman,Bars I Pubs Musicals,CARRER,ROGER DE FLOR,238,7,La Dreta De L'eixample,2,Eixample,8025,41.40152,2.16929
﻿99400128206,Pub Irlandès Mccarthy's Bar,Bars I Pubs Musicals|Cocteleries|Xampanyeries,,VIA LAIETANA,44,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38622,2.17598
﻿98238104125,Pub Anglès The Black Horse,Bars I Pubs Musicals,CARRER,ALLADA-VERMELL,16,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38670,2.18105
﻿75990100097,Bar Musical La Torre Rosa,Bars I Pubs Musicals|Cocteleries|Xampanyeries,CARRER,FRANCESC TÀRREGA,22,62,El Congrés I Els Indians,9,Sant Andreu,8027,41.42271,2.18050
﻿75990174513,Dome Club Barcelona,Discoteques|Salons De Ball,,LA RAMBLA,33,1,El Raval,1,Ciutat Vella,8002,41.37904,2.17489
﻿99400155586,Cocteleria Paradiso,Cocteleries|Xampanyeries,CARRER,RERE PALAU,4,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38371,2.18369
﻿92086021222,Bar Musical Miramelindo,Bars I Pubs Musicals,PASSEIG,BORN,15,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38461,2.18255
﻿92205145712,Jamboree,Bars I Pubs Musicals|Discoteques,,REIAL,17,2,El Barri Gòtic,1,Ciutat Vella,8002,41.37973,2.17528
﻿75990477616,Bar Restaurant Hard Rock Café,Bars I Pubs Musicals|Restaurants,,DE CATALUNYA,21,2,El Barri Gòtic,1,Ciutat Vella,8002,41.38594,2.17073
﻿75990411185,Bar Musical Espai Barroc,Bars I Pubs Musicals,CARRER,MONTCADA,20,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38465,2.18155
﻿99400209562,Bar Musical Paspartú,Bars I Pubs Musicals|Cocteleries|Xampanyeries,CARRER,BASSES DE SANT PERE,14,4,"Sant Pere, Santa Caterina I La Ribera",1,Ciutat Vella,8003,41.38871,2.17996
﻿75990035678,Bar Musical Flann O'brien's,Bars I Pubs Musicals,CARRER,CASANOVA,264,26,Sant Gervasi - Galvany,5,Sarrià-sant Gervasi,8021,41.39415,2.14741
﻿75990079636,Disco Bar Joe's,Bars I Pubs Musicals,PASSEIG,SANT ANTONI,19,18,Sants,3,Sants-Montjuïc,8014,41.37719,2.13702
﻿75990090372,Bar Musical Punto Bcn,Bars I Pubs Musicals|Cocteleries|Xampanyeries,CARRER,MUNTANER,63,8,L'antiga Esquerra De L'eixample,2,Eixample,8011,41.38672,2.15914
﻿99400355659,Sala Artte,Cocteleries|Xampanyeries,CARRER,MUNTANER,83,8,L'antiga Esquerra De L'eixample,2,Eixample,8011,41.38771,2.15783
﻿75990106254,Bar Musical Lunatic Pub,Bars I Pubs Musicals,CARRER,REGENT MENDIETA,38,20,La Maternitat I Sant Ramon,4,Les Corts,8028,41.37743,2.12359
﻿99400566604,Discoteca Downtown Barcelona,Discoteques,AVINGUDA,DOCTOR MARAÑÓN,17,20,La Maternitat I Sant Ramon,4,Les Corts,8028,41.38128,2.11445
﻿75990085638,Bar Musical Alfa,Bars I Pubs Musicals|Discoteques,,GRAN DE GRÀCIA,36,31,La Vila De Gràcia,6,Gràcia,8012,41.39883,2.15685
﻿99400224722,Discoteca The Roxy Blue Barcelona,Discoteques,CARRER,CONSELL DE CENT,294,7,La Dreta De L'eixample,2,Eixample,8007,41.38984,2.16420
﻿75990173036,Bar Musical Merbeyé,Bars I Pubs Musicals|Cocteleries|Xampanyeries,PLAÇA,DOCTOR ANDREU,1,25,Sant Gervasi - La Bonanova,5,Sarrià-sant Gervasi,8035,41.41630,2.13141
﻿99400236992,Banker's Bar,Cocteleries|Xampanyeries,PASSEIG,GRÀCIA,38,7,La Dreta De L'eixample,2,Eixample,8007,41.39120,2.16666
﻿75990097460,Slow Barcelona Cocktails & Boite,Bars I Pubs Musicals|Cocteleries|Xampanyeries|Restaurants,CARRER,PARÍS,186,8,L'antiga Esquerra De L'eixample,2,Eixample,8036,41.39361,2.15338
﻿75990103859,Sala Continental,Bars I Pubs Musicals,,PROVIDÈNCIA,30,31,La Vila De Gràcia,6,Gràcia,8024,41.40625,2.15643
﻿75990108061,Cocteleria Scotch Corner,Bars I Pubs Musicals|Cocteleries|Xampanyeries,CARRER,SABINO ARANA,8,20,La Maternitat I Sant Ramon,4,Les Corts,8028,41.38560,2.12626
﻿99344155409,Bar Musical Tinta Roja,Bars I Pubs Musicals,,CREU DELS MOLERS,17,11,El Poble-sec,3,Sants-Montjuïc,8004,41.37422,2.16193
