name,addresses_road_name,addresses_start_street_number,addresses_district_id,addresses_district_name,geo_epgs_4326_lat,geo_epgs_4326_lon
Bar Mau Mau,C Fontrodona,33,3,Sants-Montjuïc,41.372457419711424,2.166719244628817
Bar musical Le Journal,C Francisco Giner,36,6,Gràcia,41.39951590311453,2.158822209002012
Bar musical Le Journal,C Francisco Giner,36,6,Gràcia,41.39951590311453,2.158822209002012
Bar musical Le Journal,C Francisco Giner,36,6,Gràcia,41.39951590311453,2.158822209002012
Flaherty's Irish Bar,Pl Joaquim Xirau i Palau,3,1,Ciutat Vella,41.37836288375026,2.1765998961527933
Bar musical Vinilo,C Matilde,2,6,Gràcia,41.400523516371834,2.157008236365306
Bar musical Vinilo,C Matilde,2,6,Gràcia,41.400523516371834,2.157008236365306
Bar musical Vinilo,C Matilde,2,6,Gràcia,41.400523516371834,2.157008236365306
Bar musical Ballbreak,C Matilde,7,6,Gràcia,41.40050073976057,2.156915232720945
Discoteca Hyde Club,Ptge Domingo,3,2,Eixample,41.39272044860553,2.1625293888111754
Pub The George Payne Irish Bar,Pl Urquinaona,5,2,Eixample,41.389519714259784,2.1729732125359145
Restaurant El Mamón,Ptge Pere Calders,2,2,Eixample,41.37611621136471,2.1629125424066036
Restaurant El Mamón,Ptge Pere Calders,2,2,Eixample,41.37611621136471,2.1629125424066036
Restaurant El Mamón,Ptge Pere Calders,2,2,Eixample,41.37611621136471,2.1629125424066036
Discoteca Magic Rock Barcelona,Pg Picasso,40,1,Ciutat Vella,41.38596064157473,2.185010384223497
Bar Muy Buenas,C Carme,63,1,Ciutat Vella,41.3809386993451,2.1680303039281594
Bar Muy Buenas,C Carme,63,1,Ciutat Vella,41.3809386993451,2.1680303039281594
Restaurant Pur - Impur,Ptge Concepció,11,2,Eixample,41.39449742202574,2.1600765925842613
Restaurant Pur - Impur,Ptge Concepció,11,2,Eixample,41.39449742202574,2.1600765925842613
Restaurant Pur - Impur,Ptge Concepció,11,2,Eixample,41.39449742202574,2.1600765925842613
Bar musical Com-tu,C Pere IV,101,10,Sant Martí,41.39901209905584,2.194458002122968
33/45 Bar & Gallery,Carrer de Joaquín Costa,4,1,Ciutat Vella,41.38112957060895,2.1673913772174056
33/45 Bar & Gallery,Carrer de Joaquín Costa,4,1,Ciutat Vella,41.38112957060895,2.1673913772174056
Cocteleria Trípode,Pg Born,17,1,Ciutat Vella,41.384733646790934,2.1826265074388886
Cocteleria Trípode,Pg Born,17,1,Ciutat Vella,41.384733646790934,2.1826265074388886
Bar Musical Quilombo,C Aribau,149,2,Eixample,41.39259220774479,2.1536438235753352
Bar Zelig,C Carme,116,1,Ciutat Vella,41.37979777676727,2.1662749099495224
Restaurant Club Bananas,C Fusina,7,1,Ciutat Vella,41.3865130691879,2.183194172957061
Restaurant Club Bananas,C Fusina,7,1,Ciutat Vella,41.3865130691879,2.183194172957061
Bar musical La Garrafa dels Beatles,C Joan Güell,150,4,Les Corts,41.38316081043577,2.1314968356739312
La Sonora de Gràcia,C Riera de Sant Miquel,59,6,Gràcia,41.39851429481854,2.155007427407109
Sala Soda Acústic,C Guilleries,6,6,Gràcia,41.40310918221138,2.1570135071246894
Discoteca Sala Bloc,Rda Sant Pere,19,2,Eixample,41.38962561720019,2.1740469932816198
Sala Vivaldi,C Llança,5,2,Eixample,41.37558069287556,2.151331615488154
Sala Vivaldi,C Llança,5,2,Eixample,41.37558069287556,2.151331615488154
Sala de Ball Duvet,Còrsega,327,6,Gràcia,41.39722729649313,2.16005681745758
Sala de Ball Duvet,Còrsega,327,6,Gràcia,41.39722729649313,2.16005681745758
Espai Gastronòmic Born 14,Carrer del Sabateret,2,1,Ciutat Vella,41.38556607553018,2.1821154842136794
Espai Gastronòmic Born 14,Carrer del Sabateret,2,1,Ciutat Vella,41.38556607553018,2.1821154842136794
Espai Gastronòmic Born 14,Carrer del Sabateret,2,1,Ciutat Vella,41.38556607553018,2.1821154842136794
Bar musical Ceferino,Pamplona,88,10,Sant Martí,41.39691415520172,2.1913005346827257
Cocteleria Caribbean Club,C Sitges,5,1,Ciutat Vella,41.38449042393953,2.169612136496942
Cocteleria Caribbean Club,C Sitges,5,1,Ciutat Vella,41.38449042393953,2.169612136496942
Bar Musical New Underground,C Aviació,5,4,Les Corts,41.387372675522265,2.135457899083233
Harlem Jazz Club,C Comtessa de Sobradiel,8,1,Ciutat Vella,41.38117429208919,2.1784255951980773
Restaurant Bar Margarita Blue,C Josep Anselm Clavé,6,1,Ciutat Vella,41.37797438181999,2.178415462353017
Restaurant Bar Margarita Blue,C Josep Anselm Clavé,6,1,Ciutat Vella,41.37797438181999,2.178415462353017
Sala Almo2bar,C Bruniquer,59,6,Gràcia,41.40563998617621,2.1621229744263215
Sala de Festes La Paloma,C Tigre,27,1,Ciutat Vella,41.38241596057972,2.164214248059911
Sala Almodobar,C Grassot,36,6,Gràcia,41.4036158257063,2.1675628794596205
Sala Almodobar,C Grassot,36,6,Gràcia,41.4036158257063,2.1675628794596205
Bar Café del Born Nou,Pl Comercial,10,1,Ciutat Vella,41.38514950183597,2.183651690111131
Cocteleria Stereo 18,Pg Born,18,1,Ciutat Vella,41.384507282533846,2.182809326824508
Cocteleria Stereo 18,Pg Born,18,1,Ciutat Vella,41.384507282533846,2.182809326824508
Jardín de Diana,G.V. Corts Catalanes,668,2,Eixample,41.39159498396441,2.17158164718764
Jardín de Diana,G.V. Corts Catalanes,668,2,Eixample,41.39159498396441,2.17158164718764
The Philharmonic,C Mallorca,204,2,Eixample,41.39031653877783,2.1583344746486315
The Philharmonic,C Mallorca,204,2,Eixample,41.39031653877783,2.1583344746486315
Restaurant Volta al Món,C Muntaner,51,2,Eixample,41.38607977244917,2.160003250535219
Restaurant Volta al Món,C Muntaner,51,2,Eixample,41.38607977244917,2.160003250535219
Restaurant Volta al Món,C Muntaner,51,2,Eixample,41.38607977244917,2.160003250535219
Bar Restaurant La Fourmi,C Alba,2,6,Gràcia,41.402009444177104,2.1617601888921314
Bar Restaurant La Fourmi,C Alba,2,6,Gràcia,41.402009444177104,2.1617601888921314
Bar Restaurant La Fourmi,C Alba,2,6,Gràcia,41.402009444177104,2.1617601888921314
Discoteca Mojito Club,C Rosselló,217,2,Eixample,41.39315031085824,2.156938618778249
Pub The Lima House,C Carders,31,1,Ciutat Vella,41.38699381707336,2.180301705053117
Restaurant Nº30 Barceloneta,Pg Joan Borbó Comte Barcelona,30,1,Ciutat Vella,41.37904016646946,2.1880414416045597
Restaurant Nº30 Barceloneta,Pg Joan Borbó Comte Barcelona,30,1,Ciutat Vella,41.37904016646946,2.1880414416045597
Restaurant Nº30 Barceloneta,Pg Joan Borbó Comte Barcelona,30,1,Ciutat Vella,41.37904016646946,2.1880414416045597
Santé Café,Comte d'Urgell,171,2,Eixample,41.38795088816933,2.1506456351999677
Santé Café,Comte d'Urgell,171,2,Eixample,41.38795088816933,2.1506456351999677
Bar Origginals Club,C Gaiarre,50,3,Sants-Montjuïc,41.37347039577246,2.1402971200287175
Bar musical Kahala,Av Diagonal,537,4,Les Corts,41.39071524124531,2.138044725094473
Bar musical Bubblic Bar,C Marià Cubí,183,5,Sarrià-Sant Gervasi,41.395384285949355,2.144889537768522
Sala Tarantos,Pl Reial,17,1,Ciutat Vella,41.37973531200141,2.1752857129194934
Restaurant Tablao de Carmen *Poble Espanyol,Av Francesc Ferrer i Guàrdia,13,3,Sants-Montjuïc,41.36914809976752,2.1467430809493484
Restaurant Tablao de Carmen *Poble Espanyol,Av Francesc Ferrer i Guàrdia,13,3,Sants-Montjuïc,41.36914809976752,2.1467430809493484
Restaurant Tapas&Beer,G.V. Corts Catalanes,640,2,Eixample,41.389938026263984,2.169377970918539
Restaurant Tapas&Beer,G.V. Corts Catalanes,640,2,Eixample,41.389938026263984,2.169377970918539
Discoteca Pub Dixit 724,C Pallars,115,10,Sant Martí,41.39701944281436,2.1919915652174313
Discoteca Pub Dixit 724,C Pallars,115,10,Sant Martí,41.39701944281436,2.1919915652174313
Bar Musical La Concha,C Guàrdia,14,1,Ciutat Vella,41.37769573234636,2.1741957745420204
Bar Musical London Bar,C Nou de la Rambla,34,1,Ciutat Vella,41.37814933333809,2.1731803971737738
Bar Musical Sala Taro,Carrer de Rossend Arús,9,3,Sants-Montjuïc,41.37367362861198,2.137406174362691
Discoteca The Sutton Club Barcelona,C Tuset,13,5,Sarrià-Sant Gervasi,41.39601335463815,2.1517196747040805
Bar musical New Fizz Barcelona,Balmes,83,2,Eixample,41.391022459311564,2.1602391416204614
Bar musical New Fizz Barcelona,Balmes,83,2,Eixample,41.391022459311564,2.1602391416204614
Bar musical New Fizz Barcelona,Balmes,83,2,Eixample,41.391022459311564,2.1602391416204614
Discoteca Distrito Diagonal,Av Diagonal,442,2,Eixample,41.39708330346534,2.1607220347024616
Discoteca Distrito Diagonal,Av Diagonal,442,2,Eixample,41.39708330346534,2.1607220347024616
Bar musical Dow Jones,Bruc,97,2,Eixample,41.395575417175515,2.1677353618439863
Discoteca Boulevard Culture Club,C la Rambla,27,1,Ciutat Vella,41.37871072162061,2.1752714032628853
Discoteca Undead Dark Club,C Violant Hongria Reina Aragó,128,3,Sants-Montjuïc,41.37988788044138,2.1333373713098354
Tablao Flamenco Cordobés,C la Rambla,35,1,Ciutat Vella,41.37899885278571,2.1746459729448815
Tablao Flamenco Cordobés,C la Rambla,35,1,Ciutat Vella,41.37899885278571,2.1746459729448815
Discoteca Bachata Dance Club,C Casanova,171,2,Eixample,41.39189003836696,2.1500566668254297
Bar Musical Gran Bodega Saltó,C Blesa,36,3,Sants-Montjuïc,41.37276789934408,2.1671773889372346
Discoteca New Kimbara,Tajo,35,7,Horta-Guinardó,41.4295787565448,2.162401157494425
Virreina Bar,Pl Virreina,1,6,Gràcia,41.40496809922289,2.1575961797742833
Restaurant Xampanyeria Xampú Xampany,G.V. Corts Catalanes,702,2,Eixample,41.393709800097646,2.1743976795738784
Restaurant Xampanyeria Xampú Xampany,G.V. Corts Catalanes,702,2,Eixample,41.393709800097646,2.1743976795738784
Restaurant Xampanyeria Xampú Xampany,G.V. Corts Catalanes,702,2,Eixample,41.393709800097646,2.1743976795738784
Bar Tequila Bom Bom,C Nou de la Rambla,103,1,Ciutat Vella,41.37544394974666,2.170554731879733
Discoteca Costa Breve,Aribau,230,5,Sarrià-Sant Gervasi,41.39555371117258,2.150084728899705
Discoteca Nick,Av Madrid,160,3,Sants-Montjuïc,41.380282066054605,2.1311937669942975
Discoteca Nick,Av Madrid,160,3,Sants-Montjuïc,41.380282066054605,2.1311937669942975
Associació Cultural Heliogàbal,C Ramón y Cajal,80,6,Gràcia,41.40353832948327,2.1602342909501346
Restaurant Cocteleria Belvedere,Ptge Mercader,3,2,Eixample,41.392867328199806,2.159519625636362
Restaurant Cocteleria Belvedere,Ptge Mercader,3,2,Eixample,41.392867328199806,2.159519625636362
Restaurant Cocteleria Belvedere,Ptge Mercader,3,2,Eixample,41.392867328199806,2.159519625636362
Bar Pub K.M.,C Alcolea,100,3,Sants-Montjuïc,41.3797778944172,2.1351167772678896
