"station_id","name","physical_configuration","lat","lon","altitude","address","cross_street","post_code","capacity","is_charging_station","short_name","nearby_distance","x_ride_code_support","rental_uris","is_valet_station","last_updated","ttl"
329,"C/ DE LES ESCOLES PIES, 99","ELECTRICBIKESTATION",41.4029965,2.1283866,121,"C/ DE LES ESCOLES PIES, 99","05-Sarrià-StGervasi/24-les Tres Torres",8017,27,TRUE,329,1000,TRUE,NA,NA,1756677602,0
330,"C/ PAU ALCOVER, 94","ELECTRICBIKESTATION",41.401883,2.131524,108,"C/ PAU ALCOVER, 94","05-Sarrià-StGervasi/24-les Tres Torres",8017,27,TRUE,330,1000,TRUE,NA,NA,1756677602,0
331,"C/ CASTELLNOU, 65","ELECTRICBIKESTATION",41.3970497,2.1279409,95,"C/ CASTELLNOU, 65","05-Sarrià-StGervasi/24-les Tres Torres",8017,31,TRUE,331,1000,TRUE,NA,NA,1756677602,0
332,"C/ DOCTOR ROUX, 86","ELECTRICBIKESTATION",41.3998981,2.1281922,104,"C/ DOCTOR ROUX, 86","05-Sarrià-StGervasi/24-les Tres Torres",8017,27,TRUE,332,1000,TRUE,NA,NA,1756677602,0
333,"PASSATGE DE SENILLOSA, 3-5","ELECTRICBIKESTATION",41.3954723,2.1250451,94,"PASSATGE DE SENILLOSA, 3-5","05-Sarrià-StGervasi/23-Sarrià",8034,27,TRUE,333,1000,TRUE,NA,NA,1756677602,0
334,"PG. BONANOVA, 100","ELECTRICBIKESTATION",41.400793,2.122889,117,"PG. BONANOVA, 100","05-Sarrià-StGervasi/23-Sarrià",8017,26,TRUE,334,1000,TRUE,NA,NA,1756677602,0
335,"C/ SANTA AMÈLIA, 2","ELECTRICBIKESTATION",41.3935355,2.1231228,92,"C/ SANTA AMÈLIA, 2","05-Sarrià-StGervasi/23-Sarrià",8034,27,TRUE,335,1000,TRUE,NA,NA,1756677602,0
336,"AV. JOSEP VICENÇ FOIX, 52","ELECTRICBIKESTATION",41.3948771,2.1205394,96,"AV. JOSEP VICENÇ FOIX, 52","05-Sarrià-StGervasi/23-Sarrià",8034,23,TRUE,336,1000,TRUE,NA,NA,1756677602,0
337,"C/ CARME KARR, 12-14","ELECTRICBIKESTATION",41.3986238,2.1204941,117,"C/ CARME KARR, 12-14","05-Sarrià-StGervasi/23-Sarrià",8034,23,TRUE,337,1000,TRUE,NA,NA,1756677602,0
338,"AV. JOSEP VICENÇ FOIX, 63","ELECTRICBIKESTATION",41.3977227,2.1194557,111,"AV. JOSEP VICENÇ FOIX, 63","05-Sarrià-StGervasi/23-Sarrià",8034,36,TRUE,338,1000,TRUE,NA,NA,1756677602,0
339,"C/ RAMON TURRÓ, 246","ELECTRICBIKESTATION",41.4017084,2.2053803,2,"C/ RAMON TURRÓ, 246","10-SantMartí/68-el Poblenou",8005,27,TRUE,339,1000,TRUE,NA,NA,1756677602,0
340,"C/ SANT ADRIÀ, 113","ELECTRICBIKESTATION",41.4361782,2.2047037,13,"C/ SANT ADRIÀ, 113","09-SantAndreu/59-el Bon Pastor",8030,24,TRUE,340,1000,TRUE,NA,NA,1756677602,0
341,"PG. D'ENRIC SANCHIS, 33","ELECTRICBIKESTATION",41.4339212,2.2062245,11,"PG. D'ENRIC SANCHIS, 33","09-SantAndreu/59-el Bon Pastor",8030,27,TRUE,341,1000,TRUE,NA,NA,1756677602,0
342,"C/ ROC BORONAT, 134","ELECTRICBIKESTATION",41.4034967,2.1936584,5,"C/ ROC BORONAT, 134","10-SantMartí/66-el Parc i la Llacuna del Poblenou",8018,43,TRUE,342,1000,TRUE,NA,NA,1756677602,0
343,"CAMPANA DE LA MAQUINISTA (SAO PAULO I P","ELECTRICBIKESTATION",41.4389609,2.1996179,14,"CAMPANA DE LA MAQUINISTA (SAO PAULO I PL. DE","09-SantAndreu/59-el Bon Pastor",8030,27,TRUE,343,1000,TRUE,NA,NA,1756677602,0
344,"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ","ELECTRICBIKESTATION",41.4431441,2.1996045,16,"C/ CIUTAT D'ASUNCIÓN, 73 / POTOSÍ","09-SantAndreu/58-Baró de Viver",8030,27,TRUE,344,1000,TRUE,NA,NA,1756677602,0
345,"PL. TERESA DE CLARAMUNT/C/ DELS FERROCA","ELECTRICBIKESTATION",41.3631066,2.1398322,10,"PL. TERESA DE CLARAMUNT/C/ DELS FERROCARILS","03-Sants-Montjuïc/13-la Marina de Port",8038,32,TRUE,345,1000,TRUE,NA,NA,1756677602,0
346,"PG. ZONA FRANCA, 182","ELECTRICBIKESTATION",41.360798,2.138931,8,"PG. ZONA FRANCA, 182","03-Sants-Montjuïc/13-la Marina de Port",8038,36,TRUE,346,1000,TRUE,NA,NA,1756677602,0
347,"C/ ALTS FORNS, 77","ELECTRICBIKESTATION",41.3595484,2.1417765,9,"C/ ALTS FORNS, 77","03-Sants-Montjuïc/13-la Marina de Port",8038,32,TRUE,347,1000,TRUE,NA,NA,1756677602,0
348,"JARDINS DE CAN FERRERO/PG.DE LA ZONA FR","ELECTRICBIKESTATION",41.357067,2.141563,7,"JARDINS DE CAN FERRERO/PG.DE LA ZONA FRANCA","03-Sants-Montjuïc/13-la Marina de Port",8038,33,TRUE,348,1000,TRUE,NA,NA,1756677602,0
349,"C/ DE L'ENERGIA, 2 / ALTS FORNS","ELECTRICBIKESTATION",41.3573288,2.1371996,7,"C/ DE L'ENERGIA, 2 / ALTS FORNS","03-Sants-Montjuïc/13-la Marina de Port",8038,31,TRUE,349,1000,TRUE,NA,NA,1756677602,0
350,"C/ LONDRES, 63","ELECTRICBIKESTATION",41.391756,2.148291,NA,"C/ LONDRES, 63","02-Eixample/08-l'Antiga Esquerra de l'Eixample",8036,31,TRUE,350,1000,TRUE,NA,NA,1756677602,0
351,"C/ JANE ADDAMS, 26/ CRTA. DEL PRAT","ELECTRICBIKESTATION",41.3621232,2.1356187,9,"C/ JANE ADDAMS, 26/ CRTA. DEL PRAT","03-Sants-Montjuïc/13-la Marina de Port",8038,33,TRUE,351,1000,TRUE,NA,NA,1756677602,0
352,"C/RADI,10/GRAN VIA DE LES CORTS CATALA","ELECTRICBIKESTATION",41.363279,2.1341586,9,"C/RADI,10/GRAN VIA DE LES CORTS CATALANES","03-Sants-Montjuïc/13-la Marina de Port",8038,28,TRUE,352,1000,TRUE,NA,NA,1756677602,0
353,"C/ MUNNÉ  2-6","ELECTRICBIKESTATION",41.37541,2.1232547,34,"C/ MUNNÉ  2-6","03-Sants-Montjuïc/17-Sants - Badal",8028,31,TRUE,353,1000,TRUE,NA,NA,1756677602,0
354,"RAMBLA DEL BRASIL, 5","ELECTRICBIKESTATION",41.3759419,2.1299539,28,"RAMBLA DEL BRASIL, 5","03-Sants-Montjuïc/17-Sants - Badal",8028,26,TRUE,354,1000,TRUE,NA,NA,1756677602,0
355,"C/ RIERA BLANCA, 123","ELECTRICBIKESTATION",41.371459,2.127854,22,"C/ RIERA BLANCA, 123","03-Sants-Montjuïc/17-Sants - Badal",8028,27,TRUE,355,1000,TRUE,NA,NA,1756677602,0
356,"C/ CAMÈLIES, 73","ELECTRICBIKESTATION",41.4134503,2.1631012,106,"C/ CAMÈLIES, 73","07-Horta-Guinardó/33-el Baix Guinardó",8024,35,TRUE,356,1000,TRUE,NA,NA,1756677602,0
357,"C/ CARDENER, 59","ELECTRICBIKESTATION",41.4105956,2.1579897,87,"C/ CARDENER, 59","06-Gràcia/31-la Vila de Gràcia",8024,27,TRUE,357,1000,TRUE,NA,NA,1756677602,0
358,"C/ GOMBAU, 24","ELECTRICBIKESTATION",41.3872437,2.1793035,5,"C/ GOMBAU, 24","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003,26,TRUE,358,1000,TRUE,NA,NA,1756677602,0
359,"C/ MÉNDEZ NÚÑEZ, 16","ELECTRICBIKESTATION",41.3900544,2.1775594,12,"C/ MÉNDEZ NÚÑEZ, 16","01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",8003,26,TRUE,359,1000,TRUE,NA,NA,1756677602,0
360,"C/ BAILÉN, 62","ELECTRICBIKESTATION",41.3952527,2.1730023,22,"C/ BAILÉN, 62","02-Eixample/07-la Dreta de l'Eixample",8009,30,TRUE,360,1000,TRUE,NA,NA,1756677602,0
361,"PG. DE COLOM (LES RAMBLES)","ELECTRICBIKESTATION",41.37652,2.17881,5,"PG. DE COLOM (LES RAMBLES)","01-CiutatVella/02-el Barri Gòtic",8039,32,TRUE,361,1000,TRUE,NA,NA,1756677602,0
362,"C/ BAILÉN, 100","ELECTRICBIKESTATION",41.396994,2.1706323,27,"C/ BAILÉN, 100","02-Eixample/07-la Dreta de l'Eixample",8009,32,TRUE,362,1000,TRUE,NA,NA,1756677602,0
363,"C/ BRUC, 20","ELECTRICBIKESTATION",41.3908381,2.1743743,16,"C/ BRUC, 20","02-Eixample/07-la Dreta de l'Eixample",8010,24,TRUE,363,1000,TRUE,NA,NA,1756677602,0
364,"PG. DE GRÀCIA, 61","ELECTRICBIKESTATION",41.393062,2.1633226,32,"PG. DE GRÀCIA, 61","02-Eixample/07-la Dreta de l'Eixample",8007,33,TRUE,364,1000,TRUE,NA,NA,1756677602,0
365,"C/ VILADOMAT, 244","ELECTRICBIKESTATION",41.3875712,2.1469336,39,"C/ VILADOMAT, 244","02-Eixample/09-la Nova Esquerra de l'Eixample",8029,31,TRUE,365,1000,TRUE,NA,NA,1756677602,0
367,"C/ MARQUÈS DE SENTMENAT, 46","ELECTRICBIKESTATION",41.384972,2.1376205,44,"C/ MARQUÈS DE SENTMENAT, 46","04-LesCorts/19-les Corts",8029,31,TRUE,367,1000,TRUE,NA,NA,1756677602,0
368,"C/ DIPUTACIÓ, 373","ELECTRICBIKESTATION",41.3968391,2.1756598,21,"C/ DIPUTACIÓ, 373","02-Eixample/07-la Dreta de l'Eixample",8013,27,TRUE,368,1000,TRUE,NA,NA,1756677602,0
369,"C/ CONSELL DE CENT, 482","ELECTRICBIKESTATION",41.40013,2.1780175,23,"C/ CONSELL DE CENT, 482","02-Eixample/05-el Fort Pienc",8013,27,TRUE,369,1000,TRUE,NA,NA,1756677602,0
370,"C/ SARDENYA, 326","ELECTRICBIKESTATION",41.4039698,2.1729061,37,"C/ SARDENYA, 326","02-Eixample/06-la Sagrada Família",8025,32,TRUE,370,1000,TRUE,NA,NA,1756677602,0
371,"C/ DELS ENAMORATS, 49","ELECTRICBIKESTATION",41.4040525,2.181199,19,"C/ DELS ENAMORATS, 49","02-Eixample/06-la Sagrada Família",8013,36,TRUE,371,1000,TRUE,NA,NA,1756677602,0
